Wk,Pts,Pts.1,home_results,loser_rank,winner_rank,winner,loser,date_time,win_new,lose_new
4,39.0,28.0,0,11,99,Washington, Michigan State,2022-09-17 13:00:00,154,12
4,38.0,7.0,0,99,99,Washington State,Colorado State,2022-09-17 15:30:00,155,68
4,65.0,7.0,0,99,99,West Virginia,Towson,2022-09-17 12:00:00,157,202
4,66.0,7.0,0,99,99,Wisconsin,New Mexico State,2022-09-17 19:30:00,161,141
4,24.0,14.0,0,99,99,Hawaii,Duquesne,2022-09-18 20:30:00,69,71
5,41.0,24.0,1,99,99,Coastal Carolina,Georgia State,2022-09-22 19:30:00,51,88
5,31.0,0.0,0,99,99,Illinois,Chattanooga,2022-09-22 20:00:00,72,63
5,33.0,10.0,1,99,99,West Virginia,Virginia Tech,2022-09-22 19:00:00,157,212
5,48.0,20.0,0,99,99,Air Force,Nevada,2022-09-23 21:00:00,29,137
5,22.0,20.0,0,99,99,Syracuse,Virginia,2022-09-23 19:30:00,135,210
5,27.0,10.0,0,99,99,Texas-El Paso,Boise State,2022-09-23 12:00:00,143,47
5,55.0,3.0,0,99,2,Alabama,Vanderbilt,2022-09-24 12:00:00,31,208
5,17.0,14.0,0,99,99,Auburn,Missouri,2022-09-24 10:15:00,39,130
5,31.0,24.0,1,99,17, Baylor,Iowa State,2022-09-24 12:00:00,1,102
5,38.0,24.0,0,99,19, Brigham Young,Wyoming,2022-09-24 17:30:00,2,222
5,50.0,31.0,1,99,99,Buffalo,Eastern Michigan,2022-09-24 16:00:00,44,75
5,49.0,31.0,0,99,99,California,Arizona,2022-09-24 15:30:00,45,36
5,27.0,10.0,0,99,99,Central Florida,Georgia Tech,2022-09-24 12:00:00,46,89
5,45.0,24.0,0,99,99,Cincinnati,Indiana,2022-09-24 20:00:00,49,99
5,51.0,45.0,1,21,5,Clemson, Wake Forest,2022-09-24 12:00:00,50,23
5,44.0,14.0,0,99,99,Florida State,Boston College,2022-09-24 18:00:00,63,48
5,39.0,22.0,0,99,1,Georgia,Kent State,2022-09-24 18:00:00,65,106
5,34.0,23.0,0,99,99,Georgia Southern,Ball State,2022-09-24 19:00:00,66,44
5,34.0,27.0,0,99,99,Houston,Rice,2022-09-24 15:30:00,71,164
5,27.0,10.0,1,99,99,Iowa,Rutgers,2022-09-24 12:00:00,75,167
5,32.0,28.0,1,99,99,James Madison,Appalachian State,2022-09-24 20:00:00,77,35
5,35.0,27.0,0,99,99,Kansas,Duke,2022-09-24 19:00:00,78,70
5,41.0,34.0,1,6,99,Kansas State,Oklahoma,2022-09-24 18:00:00,79,157
5,31.0,23.0,0,99,8,Kentucky,Northern Illinois,2022-09-24 19:30:00,81,151
5,21.0,12.0,0,99,99,Liberty,Akron,2022-09-24 20:00:00,82,28
5,38.0,0.0,0,99,99,Louisiana State,New Mexico,2022-09-24 12:00:00,84,140
5,21.0,17.0,0,99,99,Louisiana-Monroe,Louisiana,2022-09-24 15:30:00,86,112
5,41.0,3.0,0,99,99,Louisville,South Florida,2022-09-24 19:30:00,87,177
5,44.0,34.0,0,99,99,Memphis,North Texas,2022-09-24 12:00:00,91,148
5,17.0,14.0,1,99,99,Miami (OH),Northwestern,2022-09-24 15:30:00,93,153
5,34.0,27.0,0,99,4,Michigan,Maryland,2022-09-24 15:30:00,94,119
5,45.0,31.0,1,25,99,Middle Tennessee State, Miami (FL),2022-09-24 16:00:00,96,11
5,34.0,7.0,1,99,99,Minnesota,Michigan State,2022-09-24 12:00:00,97,126
5,35.0,27.0,0,99,16, Mississippi,Tulsa,2022-09-24 18:00:00,11,205
5,45.0,14.0,0,99,99,Mississippi State,Bowling Green,2022-09-24 19:00:00,99,49
5,23.0,20.0,1,99,99,Navy,East Carolina,2022-09-24 20:00:00,101,72
5,34.0,24.0,1,99,99,Nevada-Las Vegas,Utah State,2022-09-24 19:30:00,104,207
5,45.0,26.0,0,99,99,New Mexico State,Hawaii,2022-09-24 15:30:00,106,91
5,41.0,10.0,0,99,12, North Carolina State,Connecticut,2022-09-24 14:00:00,13,69
5,45.0,32.0,1,99,99,Notre Dame,North Carolina,2022-09-24 19:30:00,111,144
5,59.0,52.0,0,99,99,Ohio,Fordham,2022-09-24 18:00:00,112,83
5,52.0,21.0,0,99,3,Ohio State,Wisconsin,2022-09-24 16:00:00,113,220
5,29.0,26.0,0,99,99,Old Dominion,Arkansas State,2022-09-24 12:00:00,116,39
5,44.0,41.0,1,99,15, Oregon,Washington State,2022-09-24 12:00:00,15,214
5,33.0,14.0,0,99,14, Penn State,Central Michigan,2022-09-24 19:30:00,16,60
5,45.0,24.0,0,99,24, Pittsburgh,Rhode Island,2022-09-24 16:00:00,17,163
5,28.0,26.0,0,99,99,Purdue,Florida Atlantic,2022-09-24 15:30:00,121,80
5,41.0,10.0,1,99,99,Sacramento State,Colorado State,2022-09-24 10:30:00,124,68
5,17.0,14.0,0,99,99,San Diego State,Toledo,2022-09-24 19:00:00,125,201
5,34.0,6.0,0,99,99,San Jose State,Western Michigan,2022-09-24 19:30:00,126,219
5,38.0,14.0,0,99,99,South Alabama,Louisiana Tech,2022-09-24 21:30:00,127,114
5,56.0,20.0,0,99,99,South Carolina,Charlotte,2022-09-24 19:00:00,128,62
5,17.0,14.0,1,99,7,Southern California,Oregon State,2022-09-24 14:00:00,130,160
5,27.0,24.0,1,99,99,Southern Mississippi,Tulane,2022-09-24 15:30:00,133,204
5,28.0,0.0,0,99,99,Temple,Massachusetts,2022-09-24 19:00:00,136,120
5,38.0,33.0,0,20,11, Tennessee, Florida,2022-09-24 12:00:00,20,4
5,23.0,21.0,3,10,23, Texas A&M, Arkansas,2022-09-24 19:00:00,22,0
5,42.0,34.0,1,99,99,Texas Christian,Southern Methodist,2022-09-24 15:30:00,140,182
5,34.0,0.0,0,99,99,Texas State,Houston Baptist,2022-09-24 15:30:00,141,93
5,37.0,34.0,0,22,99,Texas Tech, Texas,2022-09-24 19:00:00,142,20
5,52.0,24.0,0,99,99,Texas-San Antonio,Texas Southern,2022-09-24 14:00:00,144,196
5,16.0,7.0,0,99,99,Troy,Marshall,2022-09-24 10:30:00,146,118
5,45.0,17.0,1,99,99,UCLA,Colorado,2022-09-24 10:30:00,149,67
5,34.0,13.0,1,99,13, Utah,Arizona State,2022-09-24 15:30:00,25,37
5,40.0,22.0,0,99,18, Washington,Stanford,2022-09-24 20:00:00,27,186
5,73.0,0.0,0,99,99,Western Kentucky,Florida International,2022-09-24 19:00:00,158,81
6,38.0,26.0,0,99,19, Brigham Young,Utah State,2022-09-29 20:00:00,2,207
6,50.0,10.0,0,99,99,South Carolina,South Carolina State,2022-09-29 11:00:00,128,174
6,35.0,13.0,0,99,99,Boise State,San Diego State,2022-09-30 19:30:00,41,170
6,31.0,20.0,0,99,99,Nevada-Las Vegas,New Mexico,2022-09-30 19:00:00,104,140
6,45.0,30.0,1,99,99,Texas-San Antonio,Middle Tennessee State,2022-09-30 10:30:00,144,127
6,27.0,24.0,1,99,99,Tulane,Houston,2022-09-30 12:00:00,147,92
6,40.0,32.0,0,15,99,UCLA, Washington,2022-09-30 15:30:00,149,24
6,13.0,10.0,0,99,99,Air Force,Navy,2022-10-01 15:30:00,29,135
6,49.0,26.0,1,20,2,Alabama, Arkansas,2022-10-01 21:30:00,31,0
6,49.0,0.0,0,99,99,Appalachian State,Citadel,2022-10-01 19:00:00,33,64
6,43.0,20.0,0,99,99,Arizona,Colorado,2022-10-01 14:00:00,34,67
6,45.0,28.0,0,99,99,Arkansas State,Louisiana-Monroe,2022-10-01 12:00:00,37,115
6,44.0,38.0,0,99,99,Ball State,Northern Illinois,2022-10-01 15:30:00,40,151
6,34.0,33.0,0,99,99,Boston College,Louisville,2022-10-01 15:30:00,42,116
6,31.0,28.0,1,99,99,Bowling Green,Akron,2022-10-01 19:00:00,43,28
6,24.0,20.0,0,99,99,Buffalo,Miami (OH),2022-10-01 19:30:00,44,125
6,31.0,21.0,1,99,99,Cincinnati,Tulsa,2022-10-01 19:00:00,49,205
6,30.0,20.0,0,10,5,Clemson, North Carolina State,2022-10-01 15:30:00,50,15
6,34.0,30.0,0,99,99,Coastal Carolina,Georgia Southern,2022-10-01 19:30:00,51,87
6,19.0,14.0,0,99,99,Connecticut,Fresno State,2022-10-01 14:30:00,54,84
6,38.0,17.0,0,99,99,Duke,Virginia,2022-10-01 14:00:00,56,210
6,48.0,28.0,3,99,99,East Carolina,South Florida,2022-10-01 20:00:00,57,177
6,20.0,13.0,0,99,99,Eastern Michigan,Massachusetts,2022-10-01 19:30:00,59,120
6,21.0,7.0,1,99,99,Florida International,New Mexico State,2022-10-01 12:00:00,62,141
6,26.0,22.0,1,99,1,Georgia,Missouri,2022-10-01 20:00:00,65,130
6,31.0,14.0,1,99,99,Georgia State,Army,2022-10-01 12:00:00,67,41
6,26.0,21.0,1,24,99,Georgia Tech, Pittsburgh,2022-10-01 13:30:00,68,19
6,34.0,10.0,1,99,99,Illinois,Wisconsin,2022-10-01 15:30:00,72,220
6,40.0,13.0,0,99,99,James Madison,Texas State,2022-10-01 12:00:00,77,197
6,14.0,11.0,0,99,99,Kansas,Iowa State,2022-10-01 15:30:00,78,102
6,37.0,28.0,0,99,25, Kansas State,Texas Tech,2022-10-01 18:00:00,7,198
6,31.0,24.0,0,99,99,Kent State,Ohio,2022-10-01 19:00:00,80,156
6,38.0,24.0,1,99,99,Liberty,Old Dominion,2022-10-01 15:30:00,82,159
6,21.0,17.0,1,99,99,Louisiana State,Auburn,2022-10-01 15:30:00,84,42
6,28.0,7.0,0,99,99,Marshall,Gardner-Webb,2022-10-01 12:00:00,88,86
6,27.0,13.0,0,99,99,Maryland,Michigan State,2022-10-01 12:00:00,89,126
6,24.0,3.0,0,99,99,Memphis,Temple,2022-10-01 12:00:00,91,190
6,27.0,14.0,1,99,4,Michigan,Iowa,2022-10-01 16:00:00,94,101
6,22.0,19.0,0,7,14, Mississippi,Kentucky,2022-10-01 19:30:00,11,107
6,42.0,24.0,0,17,99,Mississippi State, Texas A&M,2022-10-01 15:30:00,99,21
6,35.0,21.0,0,99,99,Nebraska,Indiana,2022-10-01 16:00:00,102,99
6,41.0,10.0,0,99,99,North Carolina,Virginia Tech,2022-10-01 15:30:00,107,212
6,45.0,28.0,0,99,99,North Texas,Florida Atlantic,2022-10-01 15:30:00,108,80
6,49.0,10.0,0,99,3,Ohio State,Rutgers,2022-10-01 11:00:00,113,167
6,36.0,25.0,1,16,9,Oklahoma State, Baylor,2022-10-01 15:30:00,115,1
6,45.0,27.0,0,99,13, Oregon,Stanford,2022-10-01 12:00:00,15,186
6,17.0,7.0,0,99,11, Penn State,Northwestern,2022-10-01 19:30:00,16,153
6,20.0,10.0,1,21,99,Purdue, Minnesota,2022-10-01 19:30:00,121,13
6,28.0,24.0,0,99,99,Rice,Alabama-Birmingham,2022-10-01 17:00:00,122,32
6,33.0,16.0,1,99,99,San Jose State,Wyoming,2022-10-01 10:30:00,126,222
6,20.0,17.0,1,99,99,South Alabama,Louisiana,2022-10-01 17:00:00,127,112
6,42.0,25.0,0,99,6,Southern California,Arizona State,2022-10-01 19:30:00,130,37
6,59.0,0.0,0,99,99,Syracuse,Wagner,2022-10-01 12:00:00,135,213
6,38.0,20.0,0,99,99,Texas,West Virginia,2022-10-01 18:00:00,138,215
6,55.0,24.0,0,18,99,Texas Christian, Oklahoma,2022-10-01 15:30:00,140,16
6,41.0,35.0,1,99,99,Texas-El Paso,Charlotte,2022-10-01 19:00:00,143,62
6,38.0,17.0,0,99,99,Toledo,Central Michigan,2022-10-01 14:00:00,145,60
6,34.0,27.0,1,99,99,Troy,Western Kentucky,2022-10-01 15:30:00,146,218
6,42.0,16.0,0,99,12, Utah,Oregon State,2022-10-01 17:30:00,25,160
6,31.0,21.0,1,23,22, Wake Forest, Florida State,2022-10-01 18:00:00,26,5
6,28.0,9.0,0,99,99,Washington State,California,2022-10-01 12:00:00,155,55
6,44.0,7.0,0,99,99,Western Michigan,New Hampshire,2022-10-01 19:00:00,159,139
6,52.0,17.0,0,99,99,Florida,Eastern Washington,2022-10-02 10:30:00,60,76
7,41.0,19.0,0,99,99,Central Florida,Southern Methodist,2022-10-05 19:30:00,46,182
7,17.0,14.0,1,99,99,Colorado State,Nevada,2022-10-07 19:00:00,53,137
7,33.0,32.0,1,99,99,Houston,Memphis,2022-10-07 10:30:00,71,122
7,14.0,13.0,1,99,99,Nebraska,Rutgers,2022-10-07 20:00:00,102,167
7,40.0,7.0,0,99,99,San Jose State,Nevada-Las Vegas,2022-10-07 15:30:00,126,138
7,24.0,20.0,0,99,1,Alabama,Texas A&M,2022-10-08 16:00:00,31,195
7,41.0,14.0,0,99,99,Alabama-Birmingham,Middle Tennessee State,2022-10-08 15:30:00,32,127
7,45.0,38.0,0,21,99,Arizona State, Washington,2022-10-08 21:45:00,35,24
7,17.0,16.0,1,99,99,Ball State,Central Michigan,2022-10-08 12:00:00,40,60
7,40.0,20.0,0,99,99,Boise State,Fresno State,2022-10-08 14:30:00,41,84
7,38.0,7.0,1,99,99,Buffalo,Bowling Green,2022-10-08 19:30:00,44,49
7,28.0,24.0,0,99,24, Cincinnati,South Florida,2022-10-08 20:00:00,3,177
7,31.0,3.0,1,99,5,Clemson,Boston College,2022-10-08 19:00:00,50,48
7,28.0,21.0,1,99,99,Coastal Carolina,Louisiana-Monroe,2022-10-08 12:00:00,51,115
7,33.0,12.0,1,99,99,Connecticut,Florida International,2022-10-08 12:00:00,54,81
7,45.0,23.0,1,99,99,Eastern Michigan,Western Michigan,2022-10-08 15:30:00,59,219
7,24.0,17.0,0,99,99,Florida,Missouri,2022-10-08 14:00:00,60,130
7,42.0,10.0,0,99,2,Georgia,Auburn,2022-10-08 16:00:00,65,42
7,41.0,33.0,0,99,99,Georgia State,Georgia Southern,2022-10-08 19:30:00,67,87
7,23.0,20.0,0,99,99,Georgia Tech,Duke,2022-10-08 19:00:00,68,70
7,9.0,6.0,0,99,99,Illinois,Iowa,2022-10-08 19:30:00,72,101
7,42.0,20.0,1,99,99,James Madison,Arkansas State,2022-10-08 15:30:00,77,39
7,10.0,9.0,1,99,20, Kansas State,Iowa State,2022-10-08 19:00:00,7,102
7,42.0,24.0,1,99,99,Liberty,Massachusetts,2022-10-08 12:00:00,82,120
7,41.0,31.0,0,99,99,Louisiana Tech,Texas-El Paso,2022-10-08 15:30:00,85,199
7,34.0,17.0,1,99,99,Louisville,Virginia,2022-10-08 12:00:00,87,210
7,27.0,24.0,0,99,99,Miami (OH),Kent State,2022-10-08 16:00:00,93,106
7,31.0,10.0,1,99,4,Michigan,Indiana,2022-10-08 12:00:00,94,99
7,52.0,28.0,1,99,9,Mississippi,Vanderbilt,2022-10-08 15:30:00,98,208
7,40.0,17.0,0,99,23, Mississippi State,Arkansas,2022-10-08 16:00:00,12,38
7,53.0,21.0,0,99,99,Navy,Tulsa,2022-10-08 20:00:00,101,205
7,27.0,24.0,1,99,99,North Carolina,Miami (FL),2022-10-08 19:30:00,107,124
7,19.0,17.0,0,99,14, North Carolina State,Florida State,2022-10-08 14:00:00,13,82
7,28.0,20.0,3,16,99,Notre Dame, Brigham Young,2022-10-08 16:00:00,111,2
7,55.0,34.0,0,99,99,Ohio,Akron,2022-10-08 15:30:00,112,28
7,49.0,20.0,1,99,3,Ohio State,Michigan State,2022-10-08 20:00:00,113,126
7,41.0,31.0,0,99,7,Oklahoma State,Texas Tech,2022-10-08 11:00:00,115,198
7,49.0,22.0,1,99,12, Oregon,Arizona,2022-10-08 15:30:00,15,36
7,28.0,27.0,1,99,99,Oregon State,Stanford,2022-10-08 12:00:00,118,186
7,45.0,29.0,0,99,99,Pittsburgh,Virginia Tech,2022-10-08 10:30:00,120,212
7,31.0,29.0,1,99,99,Purdue,Maryland,2022-10-08 19:30:00,121,119
7,16.0,14.0,0,99,99,San Diego State,Hawaii,2022-10-08 19:30:00,125,91
7,24.0,14.0,1,13,99,South Carolina, Kentucky,2022-10-08 12:00:00,128,9
7,30.0,14.0,0,99,6,Southern California,Washington State,2022-10-08 12:00:00,130,214
7,40.0,13.0,1,25,8,Tennessee, Louisiana State,2022-10-08 12:00:00,137,10
7,49.0,0.0,3,99,99,Texas,Oklahoma,2022-10-08 19:00:00,138,157
7,38.0,31.0,1,19,17, Texas Christian, Kansas,2022-10-08 18:00:00,23,8
7,36.0,24.0,0,99,99,Texas State,Appalachian State,2022-10-08 19:00:00,141,35
7,31.0,28.0,0,99,99,Texas-San Antonio,Western Kentucky,2022-10-08 15:30:00,144,218
7,52.0,32.0,1,99,99,Toledo,Northern Illinois,2022-10-08 15:30:00,145,151
7,27.0,10.0,0,99,99,Troy,Southern Mississippi,2022-10-08 19:00:00,146,183
7,24.0,9.0,0,99,99,Tulane,East Carolina,2022-10-08 19:30:00,147,72
7,42.0,32.0,0,11,18, UCLA, Utah,2022-10-08 15:30:00,24,22
7,34.0,27.0,0,99,99,Utah State,Air Force,2022-10-08 19:00:00,150,27
7,45.0,10.0,0,99,15, Wake Forest,Army,2022-10-08 19:30:00,26,41
7,42.0,7.0,1,99,99,Wisconsin,Northwestern,2022-10-08 19:00:00,161,153
7,27.0,14.0,1,99,99,Wyoming,New Mexico,2022-10-08 19:00:00,162,140
8,23.0,13.0,1,99,99,Louisiana,Marshall,2022-10-12 19:30:00,83,118
8,70.0,13.0,0,99,99,Central Florida,Temple,2022-10-13 20:00:00,46,190
8,43.0,40.0,0,99,99,West Virginia,Baylor,2022-10-13 21:30:00,157,45
8,40.0,34.0,0,99,99,Southern Methodist,Navy,2022-10-14 15:30:00,132,135
8,30.0,10.0,1,99,99,Texas-San Antonio,Florida International,2022-10-14 15:30:00,144,81
8,42.0,7.0,1,99,99,Air Force,Nevada-Las Vegas,2022-10-15 12:00:00,29,138
8,34.0,20.0,0,99,99,Alabama-Birmingham,Charlotte,2022-10-15 14:00:00,32,62
8,52.0,35.0,1,99,99,Arkansas,Brigham Young,2022-10-15 12:00:00,36,50
8,42.0,17.0,0,99,99,Army,Colgate,2022-10-15 13:00:00,38,66
8,25.0,21.0,0,99,99,Ball State,Connecticut,2022-10-15 12:00:00,40,69
8,17.0,13.0,0,99,99,Bowling Green,Miami (OH),2022-10-15 19:30:00,43,125
8,34.0,7.0,1,99,99,Buffalo,Massachusetts,2022-10-15 14:00:00,44,120
8,28.0,21.0,1,99,99,Central Michigan,Akron,2022-10-15 19:30:00,47,28
8,34.0,28.0,1,99,4,Clemson,Florida State,2022-10-15 18:00:00,50,82
8,20.0,13.0,0,99,99,Colorado,California,2022-10-15 10:45:00,52,55
8,47.0,45.0,0,99,99,East Carolina,Memphis,2022-10-15 15:30:00,57,122
8,17.0,14.0,0,99,99,Florida Atlantic,Rice,2022-10-15 16:00:00,61,164
8,17.0,10.0,0,99,99,Fresno State,San Jose State,2022-10-15 11:59:00,64,171
8,55.0,0.0,0,99,1,Georgia,Vanderbilt,2022-10-15 12:00:00,65,208
8,45.0,38.0,0,25,99,Georgia Southern, James Madison,2022-10-15 19:30:00,66,7
8,31.0,16.0,0,99,99,Hawaii,Nevada,2022-10-15 15:30:00,69,137
8,26.0,14.0,0,99,24, Illinois,Minnesota,2022-10-15 19:00:00,6,128
8,27.0,17.0,0,16,22, Kentucky, Mississippi State,2022-10-15 15:30:00,8,14
8,21.0,20.0,0,99,99,Liberty,Gardner-Webb,2022-10-15 12:30:00,82,86
8,45.0,35.0,1,99,99,Louisiana State,Florida,2022-10-15 12:00:00,84,78
8,38.0,33.0,1,99,99,Maryland,Indiana,2022-10-15 16:00:00,89,99
8,20.0,14.0,1,99,99,Miami (FL),Virginia Tech,2022-10-15 12:00:00,92,212
8,41.0,17.0,0,10,5,Michigan, Penn State,2022-10-15 20:00:00,94,18
8,34.0,28.0,0,99,99,Michigan State,Wisconsin,2022-10-15 20:00:00,95,220
8,48.0,34.0,0,99,9,Mississippi,Auburn,2022-10-15 16:00:00,98,42
8,15.0,9.0,0,99,99,New Mexico State,New Mexico,2022-10-15 15:30:00,106,140
8,38.0,35.0,1,99,99,North Carolina,Duke,2022-10-15 15:30:00,107,70
8,47.0,27.0,0,99,99,North Texas,Louisiana Tech,2022-10-15 12:00:00,108,114
8,39.0,10.0,1,99,99,Northern Illinois,Eastern Michigan,2022-10-15 12:00:00,109,75
8,33.0,14.0,1,99,99,Ohio,Western Michigan,2022-10-15 21:00:00,112,219
8,52.0,42.0,0,19,99,Oklahoma, Kansas,2022-10-15 19:30:00,114,8
8,49.0,21.0,1,99,99,Old Dominion,Coastal Carolina,2022-10-15 20:00:00,116,65
8,24.0,10.0,0,99,99,Oregon State,Washington State,2022-10-15 19:00:00,118,214
8,43.0,37.0,0,99,99,Purdue,Nebraska,2022-10-15 19:30:00,121,136
8,41.0,34.0,0,99,99,South Alabama,Louisiana-Monroe,2022-10-15 15:30:00,127,115
8,20.0,19.0,0,99,99,Southern Mississippi,Arkansas State,2022-10-15 15:30:00,133,39
8,16.0,14.0,1,99,99,Stanford,Notre Dame,2022-10-15 12:00:00,134,155
8,24.0,9.0,0,15,18, Syracuse, North Carolina State,2022-10-15 15:30:00,19,15
8,52.0,49.0,0,3,6,Tennessee,Alabama,2022-10-15 15:30:00,137,29
8,24.0,21.0,0,99,22, Texas,Iowa State,2022-10-15 15:30:00,21,102
8,43.0,40.0,0,8,13, Texas Christian,Oklahoma State,2022-10-15 16:00:00,23,158
8,52.0,31.0,0,99,99,Toledo,Kent State,2022-10-15 20:00:00,145,106
8,17.0,14.0,0,99,99,Troy,Texas State,2022-10-15 19:00:00,146,197
8,45.0,31.0,1,99,99,Tulane,South Florida,2022-10-15 17:30:00,147,177
8,43.0,42.0,0,7,20, Utah,Southern California,2022-10-15 15:30:00,25,181
8,17.0,13.0,1,99,99,Utah State,Colorado State,2022-10-15 19:30:00,150,68
8,49.0,39.0,0,99,99,Washington,Arizona,2022-10-15 19:30:00,154,36
8,35.0,17.0,1,99,99,Western Kentucky,Middle Tennessee State,2022-10-15 19:30:00,158,127
