Rk,School,G,Pts,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,off_plays,off_yds,off_avg,fdown_pass,fdown_rush,fdowns_pen,fdown_tot,pen_no.,pen_yds,off_fum,off_int,off_Tot,def_Pts,def_pass_Cmp,dpass_Att,dpass_Pct,d_pass_Yds,dpass_TD,drush_Att,drush_Yds,drush_Avg,drush_TD,doff_Plays,d_off_Yds,doff_Avg,dfdown_Pass,dfdown_Rush,dfdown_Pen,dfdown_Tot,d_penn_No.,d_penn_Yds,dturnovers_Fum,d_turnovers_Int,d_turnovers_TO
1,Air Force,10,29.5,3.6,7.5,48,79.9,0.7,59.8,334.1,5.6,3,67.3,414,6.2,2.8,17.5,0.6,20.9,4.1,31.1,1,0.2,1.2,14.4,12.4,21.3,58.2,151.3,0.6,30.3,113.3,3.7,1,51.6,264.6,5.1,6.7,6.3,0.4,13.4,4.3,32.5,0.6,0.7,1.3
2,Akron,10,19.5,27.3,42.3,64.5,283.1,1,31.1,82.3,2.6,1.4,73.4,365.4,5,14.2,6.2,2,22.4,6.4,60.2,1.1,0.9,2,36.7,17.3,27.3,63.4,248.9,1.9,39.4,183.3,4.7,2.5,66.7,432.2,6.5,9.9,10.1,1.8,21.8,7.7,59.9,0.3,0.6,0.9
3,Alabama,10,40.6,22.3,35.6,62.6,273.2,2.7,34.6,193.1,5.6,1.9,70.2,466.3,6.6,12.5,9.1,2.4,24,8.3,71.6,0.7,0.6,1.3,18.9,18.9,34.3,55.1,200.8,1.1,36,112.7,3.1,1.1,70.3,313.5,4.5,8.9,7.1,3,19,6.8,54.4,0.6,0.3,0.9
4,Appalachian State,10,34.4,19.6,31.1,63,246.7,2.6,38.4,187,4.9,2.1,69.5,433.7,6.2,10.7,9.7,2.2,22.6,5.8,54.1,0.5,0.6,1.1,25.6,16.1,27.5,58.5,193.9,1.3,36.6,134.6,3.7,1.6,64.1,328.5,5.1,9.3,7.5,1.7,18.5,5.6,54.2,1.1,0.6,1.7
5,Arizona,10,31.2,24.3,39,62.3,326.4,2.5,30.2,135.8,4.5,1.3,69.2,462.2,6.7,14.8,8.5,1.9,25.2,5,45.3,0.8,0.8,1.6,37.2,21.8,31.7,68.8,253.4,2.1,37.4,218.7,5.8,2.9,69.1,472.1,6.8,10.7,11.9,2.2,24.8,5,47.5,0.8,0.2,1
6,Arizona State,10,27.1,21.3,32.3,65.9,252.5,1.5,32.2,130.8,4.1,1.8,64.5,383.3,5.9,11.9,6.7,1.7,20.3,7.5,71.9,0.5,0.8,1.3,30.8,21.6,35.9,60.2,238,1.3,36.5,175.5,4.8,2.3,72.4,413.5,5.7,11.8,9.7,2.6,24.1,5.4,49.9,0.1,1,1.1
7,Arkansas,10,29.9,17.5,27.8,62.9,238.4,1.9,47.2,223.3,4.7,1.8,75,461.7,6.2,9.6,12.8,1.2,23.6,6.7,58.9,0.9,0.5,1.4,28.9,20.1,33,60.9,280.5,1.7,36.1,146.8,4.1,2,69.1,427.3,6.2,11.2,7.9,2.2,21.3,6.7,55.6,0.6,0.6,1.2
8,Arkansas State,10,26.8,20.4,31.9,63.9,226.1,1.4,33.3,96.6,2.9,1.5,65.2,322.7,4.9,10.1,6.2,1.6,17.9,6.2,60.1,0.4,0.3,0.7,31.3,18,29.9,60.2,257.2,2.4,39.5,153.7,3.9,1.7,69.4,410.9,5.9,9.7,8.8,2.2,20.7,7.4,64.3,0.5,0.5,1
9,Army,9,27.2,4.2,9.6,44.2,91.7,0.6,54,299.9,5.6,3,63.6,391.6,6.2,2.7,15.3,0.7,18.7,5.2,43,1,0.4,1.4,25.4,15.4,24.7,62.6,181.6,1.6,38.7,198.3,5.1,1.7,63.3,379.9,6,8.9,10.9,1.4,21.2,4.7,35.1,0.4,0.7,1.1
10,Auburn,10,22.9,13.9,26.5,52.5,187.3,0.7,40.3,190,4.7,2,66.8,377.3,5.6,7.7,9.5,0.6,17.8,7.5,59.4,0.9,1.2,2.1,28.8,19,32.3,58.8,202.8,1,38.4,181.4,4.7,2.4,70.7,384.2,5.4,8.9,9.1,1.5,19.5,7.7,57.5,0.7,0.3,1
11,Ball State,11,23.8,24.3,40.7,59.6,236.4,1.6,34.6,145.7,4.2,1.1,75.4,382.1,5.1,11.6,7.5,2.4,21.5,5.9,55.5,0.6,1.1,1.7,27.7,20.3,33.6,60.3,216,1.5,45,187.8,4.2,2,78.6,403.8,5.1,10.3,10.6,2.2,23.1,7,61.8,0.7,0.5,1.3
12,Baylor,10,34.8,19.7,30.3,65,237.3,1.4,42.4,199.6,4.7,3.1,72.7,436.9,6,10.9,11,2.3,24.2,5.3,49.1,0.6,0.9,1.5,25.2,20.5,34.3,59.8,227.2,1.5,35.4,132.8,3.8,1.4,69.7,360,5.2,10.5,8.7,1.8,21,5.9,47,0.4,1.2,1.6
13,Boise State,10,30,16.5,26.8,61.6,192.5,1.3,39.2,180.8,4.6,2.2,66,373.3,5.7,8.7,9.8,1.1,19.6,5.4,46.5,0.6,0.7,1.3,17.3,12.5,24.1,51.9,156.9,0.9,34.9,107,3.1,0.8,59,263.9,4.5,5.8,6.5,0.9,13.2,6.3,44.3,0.5,0.8,1.3
14,Boston College,10,19,22.4,38,58.9,259.6,1.9,29.1,61.4,2.1,0.5,67.1,321,4.8,10.4,5.2,1.4,17,6.4,51.7,0.8,1.1,1.9,28.8,17.1,29.6,57.8,209.3,1.6,38.1,157,4.1,1.9,67.7,366.3,5.4,9.4,7.7,2.4,19.5,6.5,51.2,0.6,0.7,1.3
15,Bowling Green State,11,24.7,21.2,34.6,61.2,237.5,2.1,33.9,104.1,3.1,0.6,68.5,341.5,5,9.7,6.5,1.6,17.9,8.6,77.4,0.9,0.6,1.5,32.8,23.1,34.9,66.1,263.3,2.4,37.2,160.7,4.3,1.5,72.1,424,5.9,12,8,1.7,21.7,6.1,53.9,1.2,0.8,2
16,Brigham Young,10,29.6,22,33.3,66.1,265,2.5,30.5,150.9,4.9,1.2,63.8,415.9,6.5,11.6,7.7,1.9,21.2,5.9,51.2,0.2,0.5,0.7,30.8,18.9,27.9,67.7,217,1.9,40.6,195.5,4.8,1.9,68.5,412.5,6,10.2,10.2,2.2,22.6,5.5,49.2,0.4,0.6,1
17,Buffalo,10,29.8,20.9,35.3,59.2,236.5,1.4,41.5,151.5,3.7,1.8,76.8,388,5.1,10.9,9.5,1.7,22.1,5.4,51.4,0.7,0.7,1.4,27.4,16.2,28.2,57.4,219,1.4,34.8,183.8,5.3,1.9,63,402.8,6.4,9.2,7.2,2,18.4,6.6,57.9,1.2,0.9,2.1
18,California,10,23.2,24.4,38.9,62.7,264.2,1.8,27.9,97.9,3.5,0.9,66.8,362.1,5.4,11.7,5.9,2.1,19.7,5.2,43.9,0.1,0.7,0.8,27.9,25,37.9,66,289.4,2.1,33,130.8,4,1.5,70.9,420.2,5.9,13.7,7.8,1.1,22.6,5.8,54.3,0.6,1,1.6
19,Central Michigan,11,25.3,19.3,33.9,56.8,220.8,1.5,37.1,159,4.3,1.7,71,379.8,5.3,10.5,8,2.1,20.6,7,63.9,1.6,0.6,2.3,27.3,18.7,31.9,58.7,219.3,1.6,39.6,147.6,3.7,1.6,71.5,366.9,5.1,10.2,8.5,1.3,20,6.5,61.3,0.6,0.4,1
20,Charlotte,11,24.3,21.5,36.3,59.4,271.3,2.5,30.8,113.4,3.7,0.9,67.1,384.6,5.7,12.2,6.8,2.3,21.3,6.8,60.7,0.6,1.3,1.9,41.1,19.7,28.4,69.6,284.5,2.5,40.1,211.5,5.3,2.4,68.5,495.9,7.2,11.7,10.9,2.2,24.8,6.4,53.4,0.4,0.6,1
21,Cincinnati,10,32.6,21,33.9,61.9,271.3,2,30.2,127.6,4.2,1.5,64.1,398.9,6.2,12.3,5.7,1,19,8.4,72.8,0.6,0.7,1.3,21.4,16.8,31,54.2,190.8,1.3,43.7,144.9,3.3,1.4,74.7,335.7,4.5,9.3,8.5,2.9,20.7,3.8,36.6,0.6,0.7,1.3
22,Clemson,10,34.2,20.7,32.3,64.1,227.1,2,39.6,182.1,4.6,2.2,71.9,409.2,5.7,9.5,10.6,2.5,22.6,6.1,54.2,0.8,0.6,1.4,21,21.9,36,60.8,229.2,1.5,31.3,111.6,3.6,0.8,67.3,340.8,5.1,10.5,6.8,1.8,19.1,6.3,59.6,0.6,0.8,1.4
23,Coastal Carolina,10,31.6,18,26.9,66.9,257.6,2.2,40.6,174.1,4.3,1.8,67.5,431.7,6.4,10.9,9.2,2.5,22.6,5.8,54.7,0.8,0.4,1.2,26.9,19.9,31.4,63.4,276.8,1.6,33.7,125.6,3.7,1.5,65.1,402.4,6.2,12,7.1,1.3,20.4,6.6,56.5,1.3,0.9,2.2
24,Colorado,10,15.7,15.7,31,50.6,182.9,0.8,32.9,115.9,3.5,0.9,63.9,298.8,4.7,7.5,7.7,1.7,16.9,5.2,45.7,1.1,0.9,2,41.7,20.1,30.3,66.3,260.2,2.5,39.9,227.8,5.7,2.9,70.2,488,7,11.8,11.9,1,24.7,6.3,56.8,0.5,0.4,0.9
25,Colorado State,10,12.9,16.4,27.2,60.3,195.2,0.8,32.9,92.8,2.8,0.4,60.1,288,4.8,7.8,5.6,1.3,14.7,7.5,66.9,0.7,1.1,1.8,29.9,20.7,32.6,63.5,223.5,1.5,36.7,153.3,4.2,2.1,69.3,376.8,5.4,10.7,8.6,1.8,21.1,5,45.8,0.5,0.8,1.3
26,Connecticut,11,20.1,12,20.2,59.5,106.5,0.9,40.9,189.5,4.6,1.5,61.1,296,4.8,5,9.4,1.5,15.8,6.5,53.4,1,0.5,1.5,25.4,21.6,34.1,63.5,240.6,1.2,36.3,152.4,4.2,1.7,70.4,393,5.6,10.9,9.5,2.1,22.5,4.7,42.7,0.7,1.1,1.8
27,Duke,10,33.7,18.3,28.5,64.2,215.6,1.3,38.7,203.8,5.3,2.7,67.2,419.4,6.2,9.2,10.3,2.2,21.7,5.9,57.2,0.2,0.5,0.7,21.5,22,35.6,61.8,261,2.1,32.5,122.7,3.8,0.6,68.1,383.7,5.6,11.7,7.2,1.8,20.7,5.1,51.4,1.5,0.6,2.1
28,East Carolina,10,31.8,25.4,37.3,68.1,295.1,2,33.6,170.8,5.1,2,70.9,465.9,6.6,12.9,8.6,1.9,23.4,4.1,31.9,0.2,0.5,0.7,23.6,19.4,30.4,63.8,262,1.7,34.8,120.9,3.5,0.9,65.2,382.9,5.9,11.1,7.8,0.9,19.8,5.7,52.2,0.6,0.9,1.5
29,Eastern Michigan,11,28,18.4,29.6,62,213.4,1.6,38.2,139.9,3.7,1.8,67.8,353.3,5.2,9.5,8.9,2.5,20.8,8,71.4,0.5,1,1.5,29.5,17.5,30.6,57.3,221.6,1.8,37.3,157.5,4.2,1.7,67.9,379.2,5.6,10,8.5,3,21.5,8.8,82.9,0.5,0.6,1.2
30,Florida,10,31.9,15.2,27.4,55.5,213.2,1.2,37.3,225.4,6,2.7,64.7,438.6,6.8,9.6,9.6,1.3,20.5,6.1,39.8,0.4,0.7,1.1,26.9,20,32.4,61.7,249.8,1.2,37.8,171.2,4.5,2.1,70.2,421,6,11.5,10.3,1,22.8,5.6,45.4,1.3,0.8,2.1
31,Florida Atlantic,10,30.5,17.1,30.2,56.6,211.7,2.2,42.3,200.6,4.7,1.5,72.5,412.3,5.7,10.3,9.8,2.8,22.9,6.1,57.6,0.6,0.5,1.1,23.8,17.7,29.9,59.2,209.1,1.7,37.1,182,4.9,1.2,67,391.1,5.8,9.2,8.1,2.3,19.6,7.4,62.4,0.7,1,1.7
32,Florida International,10,19,23.6,39.4,59.9,215.5,1.2,31.5,116.2,3.7,1.1,70.9,331.7,4.7,10.2,6.8,1.5,18.5,6.6,56.8,0.6,1.1,1.7,37.4,22.5,34.4,65.4,265.5,2.2,39.1,179.8,4.6,2.5,73.5,445.3,6.1,12,9.1,2.5,23.6,5.5,46.5,0.8,0.7,1.5
33,Florida State,10,34,19.6,30.6,64.1,263.5,2.3,38.6,213.6,5.5,2.1,69.2,477.1,6.9,10.6,11.5,1.9,24,7.4,66.5,0.6,0.6,1.2,18.1,15.5,26.2,59.2,155,1.3,37.3,138.6,3.7,0.8,63.5,293.6,4.6,8.4,7.8,1.9,18.1,7.1,61.8,0.6,0.7,1.3
34,Fresno State,10,30,24.5,33.6,72.9,278,1.6,33.2,129.2,3.9,1.8,66.8,407.2,6.1,12.8,7.8,1.8,22.4,4.3,39.2,0.5,0.9,1.4,23.6,16.5,29.7,55.6,199.1,1.1,37.3,167,4.5,1.6,67,366.1,5.5,9.2,8.9,2,20.1,5.9,51.3,0.5,0.5,1
35,Georgia,10,40.6,24.6,36.3,67.8,317.1,1.8,35.6,192.5,5.4,3.2,71.9,509.6,7.1,14.8,9.3,1.5,25.6,4.4,44,0.8,0.5,1.3,11.6,18.6,33.5,55.5,187.3,0.6,26.8,82.5,3.1,0.3,60.3,269.8,4.5,8.1,4.6,1.7,14.4,6.2,47,0.4,0.7,1.1
36,Georgia Southern,10,34.3,28.7,47.2,60.8,333.4,2.2,30.1,141.3,4.7,1.9,77.3,474.7,6.1,15.3,7.6,2.9,25.8,5.2,46.6,0.2,1.3,1.5,31.7,20.1,33.7,59.6,254.7,1.6,39.7,224.8,5.7,2.2,73.4,479.5,6.5,10.9,11.9,1.1,23.9,7.6,66.2,0.4,1.1,1.5
37,Georgia State,10,29.7,14.6,25.6,57,196.4,1.6,50,241.8,4.8,2.2,75.6,438.2,5.8,8.4,13.2,2.2,23.8,7.3,66.7,1,0.7,1.7,30.4,17.8,30.5,58.4,226.3,1.6,39,161.8,4.1,1.8,69.5,388.1,5.6,9.3,10.1,2.4,21.8,5.1,52.7,0.8,1.3,2.1
38,Georgia Tech,10,17.1,18.4,32.2,57.1,190.4,0.9,34.9,136.6,3.9,0.9,67.1,327,4.9,8.7,7.3,1.8,17.8,6.1,57.1,0.3,0.8,1.1,28.7,18.6,31.6,58.9,220.4,1.5,42.6,183.6,4.3,1.6,74.2,404,5.4,10.2,10.9,2.9,24,7.7,64,1.2,1,2.2
39,Hawaii,11,19.3,20,38,52.6,203.6,0.8,31.3,143.1,4.6,1.4,69.3,346.7,5,9.1,8.4,1.5,18.9,5.8,51.2,0.5,1.1,1.6,36.3,17.7,27.7,63.9,220.6,1.6,38.1,221.4,5.8,2.5,65.8,442,6.7,10,10.4,1.6,22,4.9,47.7,0.4,0.7,1.1
40,Houston,10,37.4,26.1,38.2,68.3,303.2,3.1,31.7,151,4.8,1.5,69.9,454.2,6.5,14.4,7.5,1.4,23.3,8.4,74.9,0.9,0.8,1.7,36.2,24.1,37,65.1,291.5,2.8,36.2,149.9,4.1,1.7,73.2,441.4,6,13.2,9.3,2.5,25,3.3,30.7,0.4,0.7,1.1
41,Illinois,10,24.7,21.9,31.3,70,218.6,1.5,44.5,183.5,4.1,1.2,75.8,402.1,5.3,10.6,9.5,1.8,21.9,7.3,69.1,1.1,0.4,1.5,12.5,14.8,30.5,48.5,161,0.8,28.4,85.9,3,0.5,58.9,246.9,4.2,7,4.6,2.2,13.8,4.9,48.1,0.6,1.7,2.3
42,Indiana,10,22.4,23.4,43.3,54,237.2,1.5,30.8,85.8,2.8,1,74.1,323,4.4,10.7,5.8,2.8,19.3,5,47.4,0.6,1.2,1.8,34.6,21.7,33.8,64.2,270.2,2.6,43.6,175.6,4,1.6,77.4,445.8,5.8,12,8.9,1.8,22.7,7.8,69,0.7,0.6,1.3
43,Iowa,10,17.9,14.6,26.2,55.7,152.7,0.5,33.8,98.4,2.9,1,60,251.1,4.2,6.9,5.7,1.3,13.9,4.4,35,0.7,0.6,1.3,13.9,19.6,33.6,58.3,172.1,1,34.8,88.6,2.5,0.3,68.4,260.7,3.8,7.8,7.1,1,15.9,5.5,44.5,0.6,1.2,1.8
44,Iowa State,10,21.8,27.1,40.5,66.9,267.6,1.7,31.9,100.9,3.2,0.9,72.4,368.5,5.1,13.2,5.6,1.6,20.4,5.3,43.5,0.6,1.3,1.9,16.7,15.3,27.1,56.5,175.2,1.5,32.7,105.2,3.2,0.5,59.8,280.4,4.7,7.3,6.4,1.6,15.3,5.1,44.1,0.7,0.7,1.4
45,James Madison,9,35.3,18.1,29.9,60.6,262.4,2.1,44.4,187.6,4.2,2.2,74.3,450,6.1,11,10.7,0.8,22.4,5.3,42.7,0.7,1.1,1.8,20.3,17.2,30.8,56,226.8,1.7,31.2,77.9,2.5,0.7,62,304.7,4.9,9.3,3.9,1.4,14.7,5.1,44.4,1,1.1,2.1
46,Kansas,10,36.9,16.6,25.3,65.6,234.1,2.5,35.2,210.5,6,2.3,60.5,444.6,7.3,10,8.7,1.4,20.1,5.6,51,0.8,0.5,1.3,30.4,23.4,35.6,65.7,277,1.6,41.3,166.7,4,2.2,76.9,443.7,5.8,13.2,9.5,1.9,24.6,4.7,37.8,0.8,1.1,1.9
47,Kansas State,10,30.6,17.6,27.4,64.2,203.1,1.5,40.2,214.7,5.3,2.1,67.6,417.8,6.2,9,10,1.2,20.2,5.5,43.7,0.4,0.3,0.7,17.5,20,34.4,58.1,217.3,1.2,35.1,143.8,4.1,0.7,69.5,361.1,5.2,10.2,7.2,1.5,18.9,6.1,47.8,0.5,1.3,1.8
48,Kent State,11,28.3,16.4,28.6,57.1,221.1,1.5,42.9,201.7,4.7,1.8,71.5,422.8,5.9,10.5,11.5,1.3,23.2,6.9,56.5,0.5,0.6,1.1,29.2,23.7,34,69.8,283,2.1,40.1,158.2,3.9,1.5,74.1,441.2,6,13,8.8,1.5,23.3,5.1,42.4,0.5,0.6,1.1
49,Kentucky,10,23.3,17.1,26.2,65.3,219.9,1.8,36.4,119.6,3.3,0.9,62.6,339.5,5.4,9.3,7.2,2,18.5,5.9,41.1,0.6,1,1.6,20,16.2,27.7,58.5,182,0.8,32.6,135,4.1,1.4,60.3,317,5.3,7.8,5.9,1.1,14.8,6.3,52.2,0.5,0.7,1.2
50,Liberty,10,30.3,17.2,30.2,57,224.2,1.8,40.9,192,4.7,2.1,71.1,416.2,5.9,10.1,9.5,1.7,21.3,6.3,54.4,0.7,1.4,2.1,22.7,18.1,32.1,56.4,205.3,1.2,35.8,133.9,3.7,1.2,67.9,339.2,5,8.7,6.4,2.1,17.2,7.6,61.3,0.8,1.4,2.2
51,Louisiana,10,26.6,19.2,34.3,56,226.9,2.2,35.2,141.9,4,0.7,69.5,368.8,5.3,9.1,8.6,1.2,18.9,6.9,57.5,0.6,0.8,1.4,21.2,20,34.9,57.3,231,1.3,34.4,123.3,3.6,1.2,69.3,354.3,5.1,9.2,7.4,2.2,18.8,7.4,56.3,0.7,1.4,2.1
52,Louisiana Tech,10,30,20.7,36,57.5,274.7,2.4,33,114,3.5,0.9,69,388.7,5.6,10.1,6.7,2.4,19.2,6.9,64.6,0.6,1.6,2.2,39.2,19.2,34.2,56.1,234.8,1.9,40.2,236.6,5.9,2.8,74.4,471.4,6.3,11,11.8,2.2,25,8.5,76.5,1.2,1,2.2
53,Louisiana-Monroe,10,24.2,18.7,27.6,67.8,219.7,1.5,35.2,125.5,3.6,1.4,62.8,345.2,5.5,8.8,7.4,2,18.2,5,46.9,0.7,0.7,1.4,35.9,20.9,31.2,67,253.1,1.6,39.4,180.2,4.6,2.5,70.6,433.3,6.1,11.4,9.1,1.1,21.6,6.7,64.9,0.2,0.6,0.8
54,Louisville,10,28.8,17.6,29.3,60.1,224.2,1.1,39.3,196.5,5,2.1,68.6,420.7,6.1,10.3,8.5,1.7,20.5,7.3,71.6,0.9,0.8,1.7,20.6,17.5,28.6,61.2,207.6,1.3,37.5,145.2,3.9,1.3,66.1,352.8,5.3,8.3,8.9,1.9,19.1,8.3,59.8,1.3,1.4,2.7
55,LSU,10,32.6,21.9,32.3,67.8,240.3,1.5,39.3,185.1,4.7,2.6,71.6,425.4,5.9,11.5,10.2,2.2,23.9,6.8,58.3,0.8,0.4,1.2,21,16.5,29.9,55.2,207.8,1,35.5,140.6,4,1.3,65.4,348.4,5.3,8.7,8.2,1.5,18.4,6,59.7,1,0.6,1.6
56,Marshall,10,23.9,18,28.7,62.7,192.1,1,45.7,193.4,4.2,1.6,74.4,385.5,5.2,8.1,10.6,1.2,19.9,7,62.4,0.8,0.9,1.7,16.1,16.4,32.4,50.6,194,1,31.5,82.4,2.6,0.6,63.9,276.4,4.3,7.7,4.8,1.8,14.3,5.2,45.3,0.9,1.4,2.3
57,Maryland,10,28.3,21.9,32.6,67.2,242,1.7,35.4,154.3,4.4,1.9,68,396.3,5.8,11,7.3,1,19.3,7.9,73.2,0.4,0.6,1,24.6,21.9,36.7,59.7,232.1,1.6,37.1,148.9,4,1.3,73.8,381,5.2,10.6,8.5,3.1,22.2,4.6,40.8,0.6,0.7,1.3
58,Massachusetts,10,14,11.4,22.9,49.8,120.3,0.4,44.8,158.3,3.5,0.9,67.7,278.6,4.1,5.3,8.2,1.8,15.3,8,70.6,0.3,1.2,1.5,30.9,13,24.1,53.9,184.5,1.6,37.2,179.6,4.8,2.2,61.3,364.1,5.9,8,7.8,3.4,19.2,6.2,52.8,0.5,0.9,1.4
59,Memphis,10,33.1,22.5,35.1,64.1,281.1,1.8,37,130.5,3.5,2,72.1,411.6,5.7,11.7,7.8,1.8,21.3,4.2,36.9,0.7,0.7,1.4,29.4,23.3,36.9,63.1,266.7,2.1,34.7,124.8,3.6,1.5,71.6,391.5,5.5,12.2,7.1,1.5,20.8,5.2,46.4,0.5,1.1,1.6
60,Miami (FL),10,25.7,22.3,35.6,62.6,252.1,1.5,36.3,140.1,3.9,1.2,71.9,392.2,5.5,11.6,9.3,2.1,23,7.1,58.2,1.1,0.9,2,23.9,16.1,27,59.6,229.5,1.5,34.4,126.6,3.7,1.2,61.4,356.1,5.8,8.2,6.9,1.8,16.9,6.6,57.5,0.5,1.2,1.7
61,Miami (OH),11,20.5,13.7,24.1,57,161.2,1.1,37.3,144.6,3.9,1.1,61.4,305.8,5,6.6,7.5,2.1,16.2,5.8,51.1,0.7,0.4,1.1,23,21.5,34.9,61.5,244.5,1.5,34.4,124,3.6,1.2,69.3,368.5,5.3,11.2,6.9,1.9,20,5.8,55.5,0.8,0.7,1.5
62,Michigan,10,41.4,17.5,25.9,67.6,208.9,1.6,44.7,251.4,5.6,3.1,70.6,460.3,6.5,9.1,14.9,1,25,4.1,34,0.2,0.3,0.5,11.2,15.8,30.4,52,160.1,0.7,28,72.7,2.6,0.4,58.4,232.8,4,7.2,4.3,1.2,12.7,3.7,37.4,0.3,0.8,1.1
63,Michigan State,10,24.6,20.7,32.6,63.5,235.3,2,28.8,108.9,3.8,1.3,61.4,344.2,5.6,10.7,6.6,2.1,19.4,6,57.3,0.3,1,1.3,25.5,21.7,32.8,66.2,257.4,2.1,41.1,172.6,4.2,1,73.9,430,5.8,12.5,9.6,1.6,23.7,7.6,67.3,1,0.2,1.2
64,Middle Tennessee State,10,26.8,24.6,37.3,66,247.9,1.4,34.6,114.2,3.3,1.5,71.9,362.1,5,10.3,5.8,3.1,19.2,6.8,59.8,0.7,0.9,1.6,28.8,22.7,37.7,60.2,275.7,2.2,36.9,134.9,3.7,1.2,74.6,410.6,5.5,12.2,8.2,2,22.4,7.2,70.9,0.6,1.3,1.9
