first,second,third,fourth,fifth,powerball
6,16,18,29,37,19
13,25,30,40,43,20
10,11,18,49,52,23
10,11,37,40,54,6
14,15,19,42,46,12
21,30,34,36,49,2
12,16,31,33,54,42
8,30,32,33,51,24
2,4,14,15,28,12
31,33,38,49,55,2
25,27,31,44,54,10
4,9,18,43,55,37
20,25,26,45,46,42
13,16,27,48,51,5
5,24,26,33,47,2
7,12,28,30,48,23
11,20,21,30,48,39
12,19,23,37,39,8
13,16,33,44,47,3
2,8,23,29,35,15
12,37,40,48,50,21
12,15,28,31,50,1
19,22,24,38,51,40
1,10,11,37,40,18
9,16,21,30,52,13
2,23,24,27,36,29
9,16,23,51,52,19
15,19,24,27,47,37
28,35,40,47,53,12
14,30,39,43,46,9
3,9,14,40,42,20
1,21,30,34,36,9
8,20,29,42,43,3
15,21,27,41,47,12
1,2,15,17,49,11
24,38,39,46,47,30
9,11,13,24,43,14
14,15,27,43,53,3
23,31,32,37,55,37
4,8,32,47,51,35
10,13,28,30,47,20
7,10,25,32,41,35
5,9,14,45,48,26
2,22,32,36,47,18
7,23,35,54,55,28
1,5,21,46,51,35
3,11,24,36,38,27
3,19,21,26,45,26
6,7,16,34,42,22
30,44,46,51,53,28
2,13,30,44,52,36
13,21,29,40,50,28
1,8,35,40,47,29
16,22,43,46,49,6
12,13,14,17,53,2
22,26,28,33,45,23
6,10,12,13,24,25
12,21,36,38,49,40
6,15,38,42,51,6
2,28,31,54,55,9
19,30,39,40,53,10
2,5,16,36,40,11
6,20,35,37,47,17
10,38,40,48,53,19
16,24,38,53,54,18
7,17,44,47,54,18
4,27,30,39,44,23
14,18,34,42,43,16
13,16,18,19,46,36
1,5,16,22,48,1
13,20,41,42,53,3
36,38,42,54,55,5
2,8,22,29,37,3
1,15,35,37,45,18
3,26,30,54,55,32
2,11,16,41,42,36
4,22,28,37,52,6
12,13,20,33,42,2
2,15,25,42,48,24
10,19,26,27,32,3
9,19,29,42,53,32
1,5,26,32,38,15
16,35,49,50,52,16
1,21,23,25,26,10
36,42,45,53,54,37
1,24,40,49,50,14
10,12,24,35,55,14
9,23,28,31,36,17
14,16,27,29,41,30
8,27,43,52,53,31
1,6,14,26,34,4
5,17,28,36,51,36
19,32,33,42,54,38
19,22,30,34,52,31
7,34,35,36,38,26
17,34,42,45,50,29
2,8,9,12,19,5
5,18,28,49,55,34
22,32,36,49,55,5
1,8,19,36,42,15
11,28,30,34,43,40
35,38,40,49,55,14
8,11,12,26,53,11
12,13,34,39,44,25
7,8,13,46,54,38
14,22,30,38,41,8
16,40,42,43,48,20
9,29,31,45,55,29
2,24,34,41,48,41
1,15,17,26,40,4
5,10,12,35,38,5
3,4,8,31,45,35
3,7,27,39,40,12
6,15,30,32,39,1
23,28,33,35,49,7
13,21,26,45,50,24
7,8,17,29,54,19
7,8,26,27,42,9
15,19,26,45,47,12
3,19,20,22,47,8
2,21,27,35,55,5
3,8,24,28,49,16
3,19,33,35,43,20
24,26,38,42,46,26
8,17,24,38,51,12
12,22,26,29,51,3
2,13,22,48,50,2
13,14,18,27,54,1
16,19,41,43,52,25
2,3,9,48,50,1
10,13,16,19,24,16
14,19,26,39,55,31
5,10,17,24,43,9
14,40,47,54,55,2
2,32,38,44,50,32
20,35,36,47,50,35
18,19,30,31,33,23
32,37,44,49,50,15
26,39,41,52,53,29
2,31,35,40,42,31
2,8,16,45,51,6
8,11,30,39,47,21
11,19,22,43,45,5
10,20,22,39,48,15
4,14,15,40,48,13
16,24,26,36,54,20
4,10,20,26,40,34
5,6,18,20,50,32
10,20,22,43,49,23
6,23,27,41,47,34
2,3,12,47,51,25
2,9,23,44,45,12
15,17,24,26,35,11
19,28,30,47,54,8
3,4,11,37,44,35
12,23,25,32,38,3
4,6,19,38,42,19
19,30,35,40,41,10
12,24,26,48,55,38
4,5,6,18,27,38
5,28,32,34,53,13
13,18,23,28,46,24
16,26,34,35,41,27
4,23,35,43,44,37
3,9,24,29,39,14
1,10,23,50,55,14
2,14,24,28,54,24
20,34,37,39,45,10
18,22,23,38,45,33
1,25,34,36,42,24
7,12,36,48,54,35
16,35,37,52,54,42
1,5,7,21,43,29
13,22,27,52,55,13
10,25,35,38,41,32
3,37,46,48,51,31
9,23,47,53,55,19
15,17,43,44,48,37
3,13,35,39,40,33
7,38,40,51,52,20
14,25,32,48,54,26
4,12,13,30,38,23
11,13,30,35,55,22
14,15,26,28,36,39
10,37,43,50,52,29
3,18,39,43,54,37
15,29,38,52,53,14
6,14,40,46,49,10
3,6,14,17,18,30
2,16,21,32,43,37
10,23,42,48,54,36
4,30,37,43,46,14
12,15,30,46,54,41
4,10,33,34,50,7
9,12,16,23,43,17
24,36,44,46,53,14
8,15,16,45,51,6
3,21,34,42,45,3
19,30,41,45,54,42
2,15,26,37,42,1
19,23,27,42,52,14
28,34,37,45,53,37
9,12,24,25,27,18
8,15,20,41,54,11
5,18,20,21,44,39
17,37,41,48,55,14
5,13,14,31,49,36
7,25,29,37,50,1
6,11,14,27,41,32
14,19,22,41,50,33
2,10,39,42,43,22
6,7,36,51,53,27
7,21,43,44,49,39
1,7,8,34,45,30
4,9,18,51,54,17
26,31,35,46,50,38
2,15,25,30,45,21
8,18,38,45,54,23
7,22,27,48,50,17
2,10,31,43,55,29
3,28,34,35,50,15
5,9,27,49,52,10
21,24,42,49,50,28
8,10,11,48,50,17
12,32,40,50,54,23
1,3,30,31,43,17
13,17,19,41,50,14
8,22,31,39,44,8
9,11,26,35,51,6
13,27,28,29,49,1
3,8,30,43,53,16
1,2,18,37,43,37
13,31,36,38,49,36
1,9,19,36,53,13
5,19,24,28,39,11
8,14,35,38,46,32
1,4,10,13,29,36
13,16,20,28,32,15
6,7,32,39,51,37
8,32,33,41,50,2
4,5,13,23,43,33
8,9,39,47,53,24
2,12,25,30,48,24
9,10,29,39,52,3
3,8,22,42,49,36
7,28,31,32,40,31
9,13,23,42,51,22
5,8,10,16,24,34
14,20,22,39,44,4
3,10,14,24,46,38
10,36,40,42,43,20
7,16,38,44,48,39
15,34,39,42,50,14
5,7,24,28,39,15
27,29,31,42,46,5
2,5,7,10,30,14
7,13,17,20,35,37
21,29,38,49,52,42
5,25,46,48,49,18
21,23,39,44,47,12
10,21,27,33,40,36
8,15,17,32,48,33
11,13,18,32,42,23
8,9,13,15,50,35
7,16,33,34,46,42
11,38,44,45,51,6
6,13,37,51,52,19
1,11,35,46,53,2
5,11,14,22,51,24
5,9,11,17,46,4
22,28,32,33,39,9
9,12,35,41,51,27
23,29,37,40,45,41
1,21,28,32,41,25
11,19,25,38,50,29
7,23,40,46,52,17
10,17,20,23,45,39
9,13,27,40,53,42
3,10,18,46,48,36
8,22,30,33,49,38
4,10,15,48,51,9
12,15,18,27,52,35
21,25,27,41,48,41
18,21,28,49,50,31
9,10,15,18,29,28
11,34,37,44,47,8
10,11,16,40,44,6
11,16,20,29,41,13
5,32,43,47,48,36
11,23,32,33,34,25
9,18,32,33,49,16
21,26,37,49,51,9
21,23,27,38,50,23
9,11,22,24,43,2
4,7,10,30,37,12
22,23,26,44,47,33
24,29,33,38,44,38
29,32,39,45,53,27
2,7,11,24,31,25
1,25,29,30,45,38
1,6,11,38,53,2
6,7,16,41,53,37
13,17,35,45,50,12
6,9,16,22,30,7
3,28,36,38,44,16
16,28,35,36,47,18
3,19,47,49,53,12
4,29,45,48,50,11
15,25,31,36,46,23
5,6,26,33,34,2
14,21,29,43,45,4
18,22,33,38,40,1
11,35,43,45,48,31
20,27,30,40,48,4
11,17,40,44,51,1
15,24,49,50,52,37
1,11,17,41,46,13
5,20,22,36,42,26
5,14,17,45,46,19
1,3,10,47,48,42
5,6,19,44,50,11
2,13,29,32,35,21
16,28,33,35,37,40
11,25,40,41,48,24
6,14,34,37,40,11
2,14,27,31,36,41
1,8,17,28,50,27
25,34,36,46,49,28
2,4,28,33,52,4
13,15,25,26,46,17
31,33,44,45,51,3
6,30,35,39,45,7
1,30,32,37,50,9
3,16,27,39,40,20
31,33,35,40,42,9
4,10,11,18,43,18
5,10,29,33,51,28
8,9,16,34,48,31
11,22,26,37,51,31
14,31,35,45,47,19
4,19,39,40,50,3
2,3,13,29,52,40
3,31,38,42,46,41
20,23,36,45,50,35
9,24,45,49,50,8
16,17,23,26,44,21
18,25,30,34,41,35
3,8,12,30,47,22
2,29,31,45,47,25
9,17,32,41,47,2
9,12,16,20,39,9
2,9,36,37,48,37
16,18,26,39,48,13
6,20,43,48,52,10
1,31,33,37,50,23
5,26,39,41,42,4
5,6,12,26,29,8
1,16,30,32,39,1
3,10,31,35,38,16
1,7,36,42,49,22
14,15,31,37,41,28
1,26,27,43,46,40
11,31,35,42,45,39
3,9,17,37,43,30
9,16,21,25,32,2
1,10,34,39,47,16
27,34,42,49,52,41
2,13,22,35,44,31
8,11,34,42,51,31
4,29,34,41,42,35
1,6,20,22,38,39
2,9,30,47,48,8
2,7,16,35,37,33
6,7,26,32,43,23
15,31,34,39,50,28
2,15,17,30,34,27
18,20,39,43,47,11
2,14,24,27,44,22
7,15,20,24,43,40
11,44,45,48,50,10
10,20,22,41,49,13
9,17,46,49,51,35
5,11,17,23,53,32
6,25,26,52,53,31
4,5,11,17,47,6
15,22,26,48,53,5
4,24,36,44,50,2
10,24,25,35,43,6
5,16,28,50,52,9
31,34,35,39,46,34
7,12,17,25,32,40
3,6,27,37,41,35
8,13,17,39,48,14
1,5,37,38,53,2
13,17,34,41,45,32
8,9,32,45,48,4
12,33,40,44,50,3
2,13,19,27,50,33
4,7,14,18,44,38
4,5,22,41,42,34
5,7,18,28,35,31
16,17,32,34,43,17
1,6,31,34,44,15
12,20,24,25,48,40
15,18,19,21,43,5
17,19,25,26,44,25
4,17,26,37,40,2
21,24,37,41,45,1
1,10,35,37,43,31
14,36,39,43,51,25
1,3,16,37,41,37
9,12,17,29,45,7
16,26,36,42,47,19
8,20,22,32,52,15
7,11,19,20,22,39
5,8,24,38,52,30
6,20,27,38,39,15
16,19,34,37,47,19
8,19,22,34,53,4
6,17,45,47,48,33
3,25,27,28,53,39
22,25,33,34,35,1
6,9,29,39,52,22
11,14,21,32,45,31
8,13,29,44,48,18
4,5,19,21,50,29
9,20,30,41,48,4
17,19,20,28,47,35
11,13,28,31,33,14
2,19,24,32,34,8
6,10,19,28,32,21
3,17,29,30,33,18
6,15,18,20,41,36
6,9,19,24,40,41
9,35,36,41,49,29
24,31,36,42,46,37
1,39,46,50,51,29
8,22,35,46,48,2
13,15,20,37,42,39
26,31,35,44,48,34
18,23,25,26,40,17
11,14,26,31,48,31
17,40,41,42,46,33
18,22,26,31,49,32
9,10,30,32,34,7
4,16,34,37,51,15
14,29,30,34,48,7
18,27,28,30,49,32
6,16,50,51,52,15
19,21,26,31,51,30
5,17,25,37,49,25
16,17,24,26,45,28
7,9,14,41,44,11
5,26,35,43,50,38
15,19,27,36,44,1
19,20,21,45,46,20
12,26,40,42,50,23
12,16,43,44,46,40
11,17,26,27,40,21
2,14,24,26,53,36
10,26,30,46,52,25
6,16,17,19,38,4
10,42,48,49,50,17
4,30,32,35,41,20
5,13,18,42,50,3
20,33,34,45,52,38
1,2,6,10,20,6
13,18,34,35,51,1
14,21,39,40,47,35
7,13,17,32,33,16
5,11,13,22,36,42
14,15,23,31,51,9
10,18,40,46,48,4
4,25,39,41,50,21
17,27,28,35,52,38
6,28,35,38,51,28
7,14,23,46,49,6
12,17,35,47,50,35
2,9,17,25,36,31
10,28,31,40,52,34
5,29,31,47,49,30
19,37,40,47,51,31
12,30,41,45,52,2
5,24,25,44,52,41
1,5,20,21,45,20
2,24,28,37,44,13
6,7,27,28,41,8
10,23,27,31,34,41
6,11,16,17,44,25
1,26,29,38,42,40
7,12,19,47,49,35
2,13,20,21,23,20
2,11,16,21,39,24
10,12,27,30,53,6
10,12,15,49,51,3
20,28,30,40,43,11
4,17,34,48,52,26
4,17,30,42,44,26
9,45,46,48,51,30
16,22,26,44,46,6
1,11,37,39,40,35
18,34,42,43,53,32
2,15,38,43,50,42
5,14,16,29,53,28
5,22,34,39,52,21
2,14,33,50,52,3
8,17,24,42,44,10
6,12,14,22,33,15
3,17,27,32,48,2
13,20,21,35,40,20
1,4,19,21,29,23
1,20,25,40,53,17
15,16,19,21,49,29
14,21,22,29,44,7
32,33,35,40,51,30
18,23,31,38,50,22
30,36,38,40,53,37
9,11,12,17,19,21
8,15,32,34,35,1
9,16,19,23,41,35
12,14,27,33,39,8
2,14,18,30,31,19
4,18,20,25,42,5
8,11,24,31,37,3
23,26,46,49,52,1
9,10,38,42,43,20
14,19,22,39,43,8
2,4,5,38,43,23
12,22,24,31,35,34
1,12,23,36,49,12
3,11,28,40,45,41
6,27,32,42,44,36
5,14,26,31,40,29
3,6,26,39,48,41
6,12,19,24,34,28
15,18,26,31,36,5
12,14,22,29,41,12
24,30,36,37,38,34
5,10,18,24,45,8
1,6,43,47,48,9
3,26,33,42,46,33
4,16,19,33,41,10
11,16,21,27,35,29
13,35,40,46,47,28
13,19,24,33,34,18
2,4,6,22,34,20
2,5,17,22,44,41
16,19,22,34,37,42
2,3,6,13,26,20
10,11,25,40,45,36
3,22,37,42,49,41
26,31,37,43,45,29
2,9,27,36,39,31
7,19,38,48,49,35
4,33,35,36,45,41
6,9,17,23,24,26
1,16,26,37,48,30
7,8,16,42,43,20
13,18,27,39,49,10
26,37,42,46,48,25
1,18,21,36,47,8
2,6,17,19,27,32
18,28,31,35,49,13
9,29,30,33,42,10
5,20,22,23,34,22
2,18,25,31,32,14
30,33,36,37,49,9
3,15,16,36,40,23
6,11,25,28,34,15
6,7,9,12,20,20
3,26,32,45,48,38
1,9,12,18,33,33
1,13,16,33,43,2
27,34,40,42,44,13
2,3,22,23,36,27
16,22,32,33,38,19
7,12,17,29,48,1
15,16,22,30,35,35
8,14,17,29,36,22
8,13,16,19,29,35
15,35,40,43,46,20
1,2,10,39,48,6
4,20,25,30,49,14
10,16,37,38,45,1
4,27,28,33,49,8
2,12,38,44,49,22
5,7,15,30,38,13
6,22,25,36,46,21
1,2,6,19,45,20
8,15,19,21,38,3
8,9,19,22,25,37
19,31,32,42,45,33
2,10,33,38,43,13
17,21,30,35,36,37
10,24,28,34,35,14
12,19,27,43,45,39
7,9,15,21,40,19
5,14,15,22,30,2
14,18,30,32,47,34
21,23,35,41,49,27
24,31,34,40,47,33
13,19,22,41,47,11
7,39,40,42,43,6
7,8,14,17,32,19
23,36,42,44,46,12
10,15,27,43,45,32
8,19,23,39,41,28
14,24,27,33,34,18
20,26,35,36,43,31
8,11,13,22,37,36
4,20,35,43,47,5
17,26,31,35,48,30
8,9,13,14,21,5
6,38,41,46,48,4
5,15,18,24,48,15
10,12,27,37,42,33
27,28,31,38,41,31
1,7,10,27,35,21
4,17,28,30,40,6
7,13,16,33,38,23
2,4,6,17,25,17
6,14,36,37,49,27
2,16,18,35,40,35
1,10,17,28,45,37
6,15,24,27,42,37
7,16,33,40,47,16
5,7,29,40,46,30
37,40,41,46,48,13
1,7,8,16,19,34
1,5,9,21,31,3
2,20,23,35,49,13
2,15,21,29,47,31
18,26,30,35,44,20
23,27,34,39,42,41
21,26,28,31,41,20
19,28,33,43,49,32
13,25,35,39,47,33
6,12,13,28,48,5
14,18,24,33,42,20
7,24,27,30,44,37
4,9,32,35,49,12
8,17,22,42,47,25
2,28,30,36,39,12
3,14,20,22,48,19
29,37,40,43,44,40
11,14,20,25,41,29
2,10,25,37,41,23
16,20,24,26,46,1
24,25,26,34,39,26
4,23,33,36,45,8
16,23,29,37,39,29
3,15,19,20,27,28
4,9,26,31,49,21
1,13,15,27,41,10
10,16,18,24,26,17
3,9,22,34,46,6
30,25,3,28,26,8
3,6,33,34,39,2
3,7,13,16,35,9
6,35,38,40,42,31
5,9,14,18,49,29
2,13,17,44,45,17
9,32,34,36,41,20
20,23,37,42,43,2
10,20,21,40,45,2
10,17,26,45,48,13
11,12,28,36,43,17
9,10,21,24,40,10
19,21,32,34,49,15
6,10,21,47,49,22
12,13,20,28,44,36
11,16,28,29,36,32
9,14,19,22,49,14
7,9,19,20,45,14
2,19,30,36,42,27
1,11,20,34,39,22
14,26,28,29,39,38
5,24,25,30,38,9
6,11,18,20,44,36
3,8,16,29,30,38
4,21,32,39,41,2
18,20,31,37,41,17
5,12,13,16,43,21
11,27,37,39,41,34
4,12,27,31,43,5
2,28,37,40,49,19
13,14,18,20,21,37
15,16,18,20,36,39
12,22,27,42,49,40
12,19,26,30,33,39
9,23,32,40,45,4
8,9,23,36,44,31
1,3,9,46,47,1
29,30,34,41,49,11
4,10,32,39,45,42
4,22,31,39,41,20
5,18,29,41,42,22
16,38,41,46,47,16
4,6,7,31,33,18
21,27,29,41,44,34
15,21,27,37,47,11
8,19,32,41,45,31
31,34,39,42,49,15
1,11,25,29,36,22
9,16,28,31,48,37
14,19,23,29,42,25
6,9,22,23,35,6
1,22,24,39,43,16
9,19,29,38,49,25
23,26,29,38,46,20
15,22,24,32,39,9
6,11,15,22,27,16
4,7,31,34,41,37
2,26,33,34,39,26
6,10,19,38,43,40
8,10,14,41,42,36
7,15,20,23,45,26
11,14,22,38,41,6
1,4,20,27,29,26
2,37,38,39,42,20
5,18,40,44,47,35
3,27,31,32,41,18
12,26,32,41,46,27
4,12,21,38,46,28
13,17,37,45,49,23
5,9,22,34,42,41
4,10,14,29,39,20
6,11,32,37,47,17
3,5,20,45,46,39
13,19,24,44,45,17
17,21,28,42,43,22
14,16,18,22,41,34
26,32,41,44,45,33
4,7,27,34,39,18
3,16,24,34,48,37
19,24,32,43,44,4
24,32,42,44,47,2
1,17,27,35,36,10
17,21,23,33,45,13
1,19,40,47,49,37
2,13,21,22,47,16
14,18,20,29,42,25
4,6,12,28,42,37
5,14,20,22,26,35
4,25,29,36,46,1
16,22,27,40,43,3
20,28,40,43,47,39
10,13,17,23,36,15
15,16,27,44,47,31
6,31,38,46,47,11
11,17,18,19,28,14
13,28,32,33,38,31
12,27,33,42,49,2
11,24,26,38,41,6
3,20,22,37,44,35
2,12,15,33,41,8
5,8,18,36,38,5
5,8,21,46,49,31
6,9,10,26,48,23
2,7,10,34,39,14
10,14,18,32,33,21
13,14,22,32,42,34
13,24,27,30,45,14
2,13,26,27,49,31
1,24,27,28,43,7
6,15,25,44,47,36
21,23,32,34,42,33
2,16,32,40,47,40
19,39,45,46,49,34
13,14,15,31,37,10
15,16,22,42,43,12
2,22,29,30,44,2
7,19,43,46,47,26
5,17,40,44,48,18
16,17,20,28,49,4
1,3,27,38,42,25
8,18,20,31,47,7
4,27,29,39,41,5
5,13,34,41,48,15
12,14,26,35,36,17
5,10,17,24,37,10
3,5,9,42,48,11
3,8,9,20,49,36
15,26,28,40,48,4
4,6,20,25,31,26
4,9,12,33,48,34
6,8,11,18,39,24
3,4,13,29,38,11
12,32,37,40,49,16
6,30,43,45,48,7
3,12,30,41,46,37
12,30,39,43,46,15
14,15,19,38,44,35
2,11,23,28,31,22
11,14,17,25,36,9
21,22,29,30,38,6
7,9,23,37,49,18
12,16,20,26,32,40
14,23,24,45,48,21
9,10,12,31,41,37
21,24,37,44,45,32
5,29,36,40,49,32
6,11,34,41,44,10
6,10,12,16,29,20
6,8,28,32,47,39
18,25,30,43,46,38
4,16,32,34,41,1
12,31,35,37,44,39
1,6,21,33,40,7
9,32,38,41,44,35
7,28,35,40,48,21
5,15,16,28,32,37
9,13,23,36,45,24
