country,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z,results,year
Senegal,0.193076923,0.087692308,-0.18,0.045384615,-0.492307692,-0.325384615,0.333076923,0.048461538,-0.28,-0.345384615,0.082307692,-0.152307692,0.168461538,0.110769231,0.244615385,-0.056923077,7,2
Belgium,0.199230769,0.210769231,0.180769231,0.36,-0.336153846,-0.316153846,-0.283076923,-0.499230769,-0.156153846,-0.010769231,-0.265384615,-0.298461538,0.376153846,0.125384615,0.173076923,0.27,14,2
England,0.176153846,0.186153846,0.086153846,0.163846154,0.218461538,0.004615385,0.089230769,0.32,-0.220769231,-0.289230769,0.360769231,-0.015384615,0.404615385,-0.013846154,0.189230769,-0.038461538,6,2
Italy,0.153076923,0.197692308,0.03,0.088461538,-0.665384615,-0.347692308,-0.2,-0.407692308,-0.646153846,-0.612307692,-0.216153846,-0.455384615,-0.064615385,-0.136923077,0.095384615,-0.118461538,15,2
Argentina,-0.085384615,0.673846154,0.561538462,0.82,0.39,0.067692308,0.183846154,0.608461538,0.396153846,0.576923077,-0.353076923,0.48,0.038461538,0.098461538,0.282307692,0.687692308,18,2
Uruguay,0.239230769,0.55,0.156923077,0.183076923,-0.210769231,-0.204615385,0.747692308,0.416153846,0.099230769,-0.067692308,0.021538462,-0.183076923,0.263846154,0.097692308,0.06,0.055384615,26,2
Ecuador,-0.085384615,-0.292307692,-0.066923077,-0.23,0.842307692,0.666923077,0.226923077,-0.051538462,0.85,0.609230769,0.256153846,0.511538462,0.199230769,0.445384615,-0.049230769,-0.266153846,24,2
France,-0.41,0.329230769,0.606923077,0.713846154,0.467692308,-0.033076923,0.140769231,0.609230769,0.610769231,0.639230769,-0.492307692,-0.385384615,0.008461538,-0.016923077,0.310769231,0.633076923,28,2
Turkey,0.254615385,-0.122307692,0.118461538,0.069230769,0.006923077,0.016153846,0.01,-0.085384615,0.282307692,0.260769231,-0.153846154,-0.090769231,-0.127692308,-0.018461538,-0.190769231,0.105384615,3,2
Denmark,0.2,0.046153846,-0.056153846,0.129230769,0.120769231,0.053076923,0.010769231,0.267692308,0.001538462,0.106153846,-0.132307692,-0.310769231,0.063846154,0.234615385,-0.18,-0.002307692,10,2
China,-0.41,-0.415384615,-0.290769231,-0.313076923,-0.216153846,-0.261538462,-0.033846154,-0.093076923,-0.352307692,-0.193846154,-0.160769231,-0.153846154,-0.376923077,-0.424615385,-0.132307692,-0.526923077,31,2
Cameroon,-0.085384615,0.104615385,0.336923077,0.406923077,0.588461538,0.594615385,0.401538462,0.588461538,0.07,0.294615385,0.052307692,0.649230769,0.263846154,0.389230769,0.226153846,0.417692308,20,2
Poland,0.076923077,0.341538462,-0.066923077,0.029230769,-0.596923077,-0.463846154,-0.25,-0.433846154,-0.432307692,-0.636923077,-0.256923077,0.025384615,0.007692308,0.474615385,-0.214615385,-0.115384615,25,2
Saudi,-0.41,-0.271538462,-0.201538462,-0.313076923,0.321538462,-0.080769231,0.053076923,-0.030769231,-0.309230769,-0.114615385,0.203076923,-0.212307692,-0.440769231,-0.219230769,0.034615385,-0.321538462,32,2
SouthAfrica,0.401538462,0.320769231,0.158461538,0.136923077,0.445384615,0.527692308,0.575384615,-0.095384615,0.173846154,0.494615385,0.086153846,-0.021538462,-0.025384615,0.530769231,0.034615385,0.122307692,17,2
Tunisia,-0.247692308,-0.069230769,-0.022307692,0.017692308,-0.474615385,-0.369230769,-0.12,-0.477692308,-0.590769231,-0.649230769,0.031538462,-0.207692308,-0.248461538,0.097692308,-0.076923077,-0.113076923,29,2
Japan,0.198461538,-0.116153846,-0.09,-0.013076923,0.193076923,0.132307692,0.010769231,0.395384615,0.102307692,0.802307692,-0.154615385,-0.013076923,0.016153846,0.668461538,0.585384615,-0.03,9,2
Croatia,-0.085384615,-0.041538462,0.292307692,0.324615385,-0.392307692,-0.333076923,-0.294615385,-0.306923077,-0.188461538,-0.251538462,0.106923077,-0.44,0.360769231,0.126153846,0.31,0.262307692,23,2
RepIreland,0.264615385,0.394615385,-0.094615385,0.217692308,0.290769231,0.062307692,0.1,0.241538462,-0.328461538,-0.197692308,-0.097692308,-0.042307692,-0.019230769,-0.015384615,8.54E-17,0.094615385,12,2
Slovenia,-0.085384615,-0.213076923,-0.38,-0.016923077,-0.389230769,-0.367692308,-0.119230769,-0.159230769,-0.056923077,-0.278461538,0.063076923,0.243846154,0.071538462,-0.076923077,0.061538462,-0.301538462,30,2
Brazil,0.843846154,0.712307692,0.016923077,0.245384615,0.010769231,-0.181538462,0.940769231,0.834615385,0.241538462,0.035384615,-0.039230769,0.131538462,-0.166153846,-0.134615385,0.100769231,0.306153846,1,2
Paraguay,0.198461538,0.063076923,0.147692308,0.048461538,-0.176923077,-0.118461538,-0.151538462,-0.066923077,-0.21,-0.300769231,0.046153846,0.004615385,0.423076923,0.016923077,-0.056153846,0.13,16,2
usa,0.176153846,0.100769231,0.193846154,0.226153846,-0.153076923,-0.093846154,-0.302307692,-0.063846154,-0.029230769,-0.534615385,0.09,0.426153846,0.327692308,-0.083846154,-0.109230769,0.260769231,8,2
Spain,0.451538462,0.495384615,-0.012307692,0.182307692,0.003076923,-0.222307692,0.012307692,0.130769231,0.147692308,-0.01,-0.193846154,-0.215384615,0.151538462,-0.287692308,0.157692308,0.132307692,5,2
Portugal,0.403076923,0.207692308,0.157692308,0.088461538,0.056923077,-0.161538462,0.357692308,-0.073076923,0.468461538,0.573846154,0.085384615,0.01,0.326923077,0.331538462,0.557692308,0.262307692,21,2
Nigeria,-0.247692308,-0.058461538,0.023076923,-0.005384615,-0.083076923,-0.176153846,0.573846154,-0.158461538,-0.038461538,-0.166923077,-0.096923077,0.683076923,-0.409230769,-0.192307692,-0.297692308,0.074615385,27,2
Russia,0.239230769,0.424615385,0.068461538,0.406923077,0.001538462,0.000769231,-0.250769231,-0.051538462,0.008461538,0.157692308,-0.395384615,-0.52,0.040769231,0.096153846,0.170769231,0.409230769,22,2
Germany,0.563076923,0.288461538,0.093846154,0.223846154,-0.443846154,-0.369230769,-0.342307692,-0.298461538,-0.030769231,-0.316153846,-0.322307692,-0.274615385,0.026923077,-0.260769231,-0.017692308,0.113846154,2,2
Argentina,0.7,-0.006923077,-0.137692308,-0.071538462,0.443076923,0.080769231,0.368461538,-0.161538462,0.312307692,0.163846154,0.174615385,0.670769231,-0.238461538,0.124615385,0.281538462,0.038461538,6,6
iran,-0.035384615,0.033846154,0.373076923,0.320769231,-0.190769231,-0.352307692,0.2,-0.247692308,-0.237692308,0.242307692,0.265384615,-0.241538462,0.283846154,0.19,0.489230769,0.138461538,25,6
Japan,-0.035384615,-0.093076923,-0.184615385,-0.063076923,-0.001538462,-0.181538462,0.110769231,0.426923077,-0.035384615,-0.188461538,0.108461538,0.010769231,-0.473846154,-0.449230769,0.22,-0.027692308,28,6
Angola,-0.227692308,-0.166923077,-0.387692308,-0.362307692,-0.344615385,-0.163846154,-0.155384615,-0.520769231,-0.423846154,-0.303076923,0.367692308,-0.08,0.397692308,0.669230769,-0.140769231,-0.572307692,23,6
Ecuador,0.303076923,0.085384615,0.03,-0.054615385,0.348461538,0.071538462,0.243076923,0.079230769,0.003846154,0.27,0.121538462,0.033076923,0.353076923,0.327692308,0.046923077,0.103076923,12,6
Tunisia,0.156923077,-0.142307692,-0.286153846,-0.237692308,0.081538462,0.091538462,0.2,-0.355384615,0.159230769,0.492307692,0.458461538,0.105384615,0.02,0.446153846,-0.02,-0.415384615,24,6
Ukrain,0.122307692,0.143846154,-0.026923077,-0.242307692,-0.064615385,-0.245384615,-0.09,-0.073846154,0.261538462,0.106153846,-0.116153846,0.056153846,0.003076923,0.16,0.063076923,-0.229230769,8,6
Portugal,0.13,0.343846154,-0.145384615,-0.004615385,0.040769231,-0.338461538,0.237692308,0.220769231,-0.131538462,-0.000769231,-0.391538462,-0.096153846,-0.096153846,-0.129230769,0.040769231,-0.108461538,4,6
Germany,0.56,0.225384615,0.015384615,0.206923077,0.061538462,-0.043076923,-0.203076923,0.036923077,0.370769231,-0.07,-0.178461538,-0.349230769,-0.093846154,-0.165384615,-0.055384615,-0.000769231,3,6
France,0.288461538,0.370769231,0.124615385,0.288461538,0.166153846,-3.42E-17,0.566153846,0.481538462,0.177692308,-0.01,-0.238461538,-0.202307692,-0.282307692,0.066923077,0.224615385,0.484615385,2,6
Saudi,-0.035384615,-0.023846154,-0.235384615,-0.099230769,0.045384615,-0.050769231,0.289230769,0.59,0.285384615,0.291538462,0.198461538,0.446153846,0.093846154,0.446923077,0.46,0.019230769,29,6
Australia,0.303076923,0.49,0.486153846,0.859230769,0.303846154,0.206153846,0.01,0.515384615,0.316923077,-0.075384615,0.096153846,0.869230769,0.324615385,0.83,0.046923077,0.848461538,16,6
IvoryCoast,0.542307692,0.718461538,-0.083076923,0.223846154,-0.131538462,0.075384615,-0.111538462,-0.120769231,-0.211538462,-0.400769231,-0.153076923,-0.347692308,-0.396923077,-0.384615385,0.01,-0.026923077,19,6
Poland,-0.034615385,-0.118461538,-0.083076923,0.097692308,0.191538462,0.214615385,0.066153846,-0.084615385,-0.219230769,0.169230769,0.140769231,0.176153846,0.094615385,0.030769231,0.22,-0.124615385,21,6
Ghana,0.158461538,0.632307692,0.029230769,0.254615385,0.116923077,-0.009230769,-0.056923077,0.066923077,-0.103076923,-0.072307692,-0.091538462,-0.132307692,-0.073846154,0.807692308,-0.065384615,0.131538462,13,6
CzechRepublic,0.157692308,0.022307692,0.17,0.022307692,0.096923077,0.046923077,-0.333846154,0.28,0.041538462,0.373076923,-0.199230769,-0.138461538,-0.019230769,0.062307692,0.13,0.022307692,20,6
England,0.122307692,0.33,0.343076923,0.552307692,-0.055384615,-0.373846154,0.31,-0.022307692,0.18,-0.287692308,-0.196923077,0.714615385,0.346153846,-0.199230769,0.030769231,0.304615385,7,6
usa,-0.227692308,-0.056923077,0.170769231,0.135384615,0.011538462,-0.201538462,-0.111538462,-0.139230769,0.105384615,-0.09,-0.266923077,-0.462307692,0.284615385,0.351538462,0.31,-0.035384615,26,6
Netherlands,0.013846154,0.156923077,-0.199230769,0.152307692,0.206153846,-0.116153846,0.176153846,0.516923077,0.402307692,0.362307692,0.18,0.275384615,-0.016923077,0.567692308,-0.043076923,0.08,11,6
Brazil,0.619230769,0.383846154,0.065384615,0.277692308,0.701538462,0.052307692,0.698461538,0.713076923,0.458461538,0.313846154,0.132307692,0.086923077,-0.155384615,-0.013076923,0.286153846,0.434615385,5,6
Spain,0.881538462,1.015384615,0.637692308,0.533076923,0.500769231,0.266153846,0.676923077,0.08,0.447692308,1.215384615,-0.337692308,-0.442307692,-0.273076923,0.041538462,0.093076923,0.650769231,9,6
Switzerland,0.113076923,0.003846154,-0.05,-0.033076923,0.225384615,0.148461538,-0.013076923,-0.072307692,0.570769231,0.958461538,0.206153846,-0.008461538,0.479230769,-0.151538462,0.146153846,-0.044615385,10,6
Paraguay,-0.227692308,-0.030769231,-0.032307692,-0.026923077,-0.128461538,0.136153846,-0.155384615,-0.102307692,0.161538462,-0.042307692,0.357692308,-0.010769231,0.359230769,-0.126923077,0.01,-0.161538462,18,6
Croatia,-0.035384615,0.464615385,0.271538462,0.295384615,0.032307692,0.014615385,0.333076923,0.680769231,-0.091538462,-0.030769231,-0.107692308,-0.002307692,0.131538462,0.574615385,0.58,0.264615385,22,6
Italy,0.484615385,0.213076923,-0.103846154,0.202307692,-0.116153846,-0.091538462,-0.255384615,-0.093076923,-0.251538462,-0.112307692,0.109230769,0.126923077,0.1,-0.377692308,0.18,0.180769231,1,6
Cameroon,-0.045384615,0.442307692,0.306923077,0.630769231,-0.009230769,-0.158461538,0.135384615,-0.239230769,-0.150769231,-0.254615385,-0.614615385,-0.140769231,0.059230769,0.244615385,-0.149230769,0.477692308,31,10
Serbia,-0.044615385,0.218461538,0.416923077,0.270769231,0.254615385,-0.226923077,-0.04,0.533076923,-0.166923077,0.096153846,0.204615385,0.137692308,0.104615385,-0.252307692,0.616153846,0.246153846,23,10
Slovakia,0.264615385,0.005384615,-0.148461538,-0.049230769,-0.178461538,-0.246923077,-0.06,-0.232307692,-0.256923077,-0.500769231,-0.033076923,-0.042307692,0.093846154,0.049230769,-0.100769231,-0.183846154,16,10
Greece,-0.079230769,0.183076923,-0.057692308,-0.002307692,-0.375384615,-0.282307692,0.193076923,0.256153846,-0.11,-0.392307692,-0.079230769,-0.342307692,0.273846154,-0.100769231,0.383846154,-0.163076923,14,10
Switzerland,-0.222307692,0.122307692,0.251538462,0.128461538,-0.108461538,0.071538462,0.090769231,-0.068461538,-0.446153846,0.276153846,0.367692308,-0.122307692,0.059230769,0.429230769,0.042307692,0.269230769,19,10
Australia,0.132307692,0.247692308,0.417692308,0.487692308,0.069230769,0.114615385,-0.387692308,-0.256153846,-0.447692308,-0.462307692,0.103076923,-0.015384615,0.059230769,0.430769231,-0.116153846,0.187692308,21,10
usa,0.214615385,0.523076923,-0.176153846,0.277692308,-0.196923077,-0.245384615,-0.013846154,-0.178461538,-0.228461538,-0.25,0.096153846,0.032307692,0.760769231,-0.122307692,0.119230769,0.124615385,12,10
Ghana,0.069230769,0.626923077,-0.023846154,0.263846154,-0.171538462,-0.32,0.134615385,0.018461538,0.131538462,-0.005384615,-0.067692308,-0.057692308,0.06,0.139230769,-0.248461538,0.204615385,7,10
Denmark,0.133076923,0.533846154,0.086923077,0.444615385,-0.276153846,-0.306153846,-0.126923077,0.104615385,-0.029230769,-0.318461538,0.278461538,-0.069230769,0.150769231,0.151538462,-0.211538462,-0.123846154,24,10
Germany,0.816923077,0.433846154,-0.024615385,0.452307692,0.194615385,-0.104615385,0.006153846,0.384615385,0.047692308,0.056923077,-0.066923077,0.276153846,0.296153846,-0.387692308,-0.258461538,0.276153846,3,10
Nigeria,0.132307692,0.074615385,-0.188461538,-0.361538462,-0.501538462,-0.31,-0.039230769,-0.035384615,-0.615384615,-0.616153846,-0.137692308,-0.262307692,0.105384615,-0.408461538,-0.306923077,-0.370769231,27,10
NewZealand,-0.044615385,-0.314615385,-0.078461538,-0.232307692,-0.153076923,-0.076153846,0.004615385,-0.446153846,-0.537692308,-0.33,0.531538462,-0.081538462,-0.033076923,0.741538462,0.106923077,-0.129230769,22,10
France,-0.222307692,-0.019230769,-0.023076923,0.155384615,-0.303076923,-0.379230769,0.744615385,0.069230769,0.043846154,0.321538462,-0.376153846,-0.265384615,-0.077692308,0.182307692,0.170769231,-0.009230769,29,10
Paraguay,-0.1,-0.14,-0.302307692,0.293846154,-0.183076923,-0.088461538,-0.232307692,-0.308461538,0.126153846,-0.263846154,0.009230769,-0.15,0.19,0.130769231,0.158461538,-0.186153846,8,10
England,-0.000769231,0.323076923,0.388461538,0.424615385,0.255384615,-0.012307692,0.135384615,0.154615385,0.22,0.581538462,-0.267692308,0.875384615,0.266153846,-0.091538462,0.042307692,0.506153846,13,10
Spain,0.18,0.539230769,0.383076923,0.868461538,1.156923077,0.32,0.616923077,1.432307692,0.753846154,0.91,0.026923077,0.636153846,0.286153846,-0.138461538,0.464615385,0.762307692,1,10
Uruguay,0.396923077,0.130769231,-0.069230769,0.05,-0.150769231,-0.225384615,0.083846154,-0.033846154,-0.050769231,0.061538462,0.495384615,0.063846154,0.473846154,-0.013076923,0.335384615,-0.167692308,4,10
Portugal,0.531538462,0.284615385,-0.023846154,0.100769231,0.078461538,-0.3,0.07,0.180769231,0.105384615,0.073846154,0.023846154,-0.131538462,-0.009230769,0.236153846,-0.03,0.053076923,11,10
Argentina,0.450769231,0.496153846,0.009230769,0.553846154,0.549230769,0.065384615,0.708461538,0.02,0.566153846,0.456923077,-0.219230769,0.233846154,-0.217692308,-0.384615385,0.235384615,0.488461538,5,10
Honduras,-0.4,-0.466923077,-0.353846154,-0.634615385,-0.516923077,-0.090769231,-0.300769231,-0.359230769,-0.571538462,-0.513846154,0.177692308,0.046153846,-0.079230769,-0.191538462,-0.210769231,-0.699230769,30,10
Greece,-0.044615385,-0.088461538,-0.243846154,-0.145384615,-0.483076923,-0.3,-0.387692308,-0.223846154,-0.335384615,-0.536923077,-0.061538462,0.146153846,-0.216923077,-0.346153846,-0.499230769,-0.237692308,25,10
Slovenia,0.264615385,0.005384615,-0.148461538,-0.049230769,-0.178461538,-0.246923077,-0.06,-0.232307692,-0.256923077,-0.500769231,-0.033076923,-0.042307692,0.093846154,0.049230769,-0.100769231,-0.183846154,18,10
Netherlands,0.396923077,0.126923077,-0.092307692,0.162307692,0.374615385,0.073076923,0.154615385,0.135384615,0.298461538,0.298461538,0.063076923,0.316153846,0.041538462,0.368461538,0.439230769,0.127692308,2,10
Algeria,-0.4,-0.104615385,0.471538462,-0.059230769,0.27,0.046153846,-0.04,0.204615385,0.142307692,0.485384615,0.329230769,-0.003076923,0.197692308,0.399230769,0.011538462,0.020769231,28,10
IvoryCoast,0.310769231,0.126153846,0.637692308,0.688461538,0.377692308,0.26,0.221538462,0.910769231,0.053846154,0.259230769,-0.338461538,-0.416923077,-0.170769231,0.368461538,0.235384615,0.597692308,17,10
Italy,0.310769231,0.424615385,0.362307692,0.256923077,0.035384615,0.073076923,-0.039230769,-0.24,0.763846154,0.315384615,-0.299230769,-0.28,0.519230769,-0.003076923,0.360769231,0.107692308,26,10
SouthAfrica,0.133076923,0.148461538,0.030769231,-0.189230769,0.084615385,-0.013846154,-0.302307692,-0.326923077,-0.128461538,0.257692308,-0.174615385,0.034615385,0.013076923,-0.128461538,-0.210769231,-0.220769231,20,10
Brazil,0.557692308,0.186923077,0.141538462,0.398461538,0.779230769,0.247692308,0.84,0.937692308,0.810769231,1.031538462,-0.114615385,0.365384615,0.004615385,0.248461538,0.331538462,0.535384615,6,10
Mexico,0.132307692,0.251538462,-0.024615385,0.199230769,0.563076923,0.2,0.234615385,0.863846154,1.109230769,-0.018461538,0.156923077,0.175384615,-0.009230769,0.607692308,0.378461538,0.319230769,14,10
Chile,-0.000769231,0.105384615,-0.023846154,0.478461538,-0.329230769,-0.221538462,0.462307692,0.218461538,0.453076923,-0.085384615,-0.467692308,-0.466923077,-0.113076923,0.283076923,0.305384615,0.473846154,10,10
Chile,0.270769231,-0.093846154,-0.138461538,0.101538462,0.434615385,0.374615385,0.193846154,-0.335384615,0.186153846,0.24,0.098461538,0.169230769,-0.002307692,0.222307692,0.680769231,0.151538462,9,14
Colombia,0.781538462,0.256153846,0.016923077,0.298461538,-0.303076923,-0.243846154,0.117692308,0.115384615,-0.035384615,-0.245384615,-0.143076923,-0.047692308,-0.237692308,0.343846154,0.417692308,0.353076923,5,14
