Country,Year,goals_z,xg_z,boxtouches_z,progpasses_z,progruns_z,new_xg,Fouled,results
Germany,2010,0.816923,0.513077,0.458462,-0.367692,0.142308,1.0301,0.16,3
Germany,2014,0.755385,0.719231,0.601538,0.316154,0.198462,1.65071,0.163846,1
Germany,2018,-0.066154,0.615385,1.57,0.565385,0.930769,-30.73248,0.52,32
Switzerland,2010,-0.222308,0.122308,0.128462,0.071538,-0.068462,-1.7612,-0.3869,32
Switzerland,2014,0.387692,0.550769,0.138462,0.213077,0.050769,1.9543,0.05923,16
Switzerland,2018,0.241538,0.330769,0.181538,0.113077,0.286923,2.1433,0.1561,16
Spain,2010,0.18,0.539231,0.868462,0.32,1.432308,7.2307,0.60307,1
Spain,2014,0.243846,0.536154,0.596923,-0.052308,0.489231,3.8895,0.724615,32
Spain,2018,0.190769,0.680769,0.763077,0.267692,0.981538,7.375,0.605385,16
Portugal,2010,0.531538,0.284615,0.100769,-0.3,0.180769,0.63531,-0.2661,16
Portugal,2014,0.075385,0.529231,0.245385,0.480769,0.350769,11.02034,-0.149231,32
Portugal,2018,0.373846,0.166154,0.044615,-0.044615,0.212308,0.123457,0.202308,16
Netherlands,2010,0.396923,0.126923,0.162308,0.073077,0.135385,0.64147,0.0707,2
Netherlands,2014,0.493846,0.406923,0.096923,-0.169231,0.098462,1.0342677,-0.309231,3
Brazil,2010,0.557692,0.186923,0.398462,0.247692,0.937692,1.29517,0.08307,8
Brazil,2014,0.328462,0.376154,0.475385,-0.193077,0.408462,2.03278,0.107691,4
Brazil,2018,0.427692,0.864615,1.153077,-0.015385,1.092308,4.42446,0.606154,8
Belgium,2014,0.137692,0.21,0.536154,-0.097692,0.853846,4.9609,-0.453077,8
Belgium,2018,0.566154,0.560769,0.446923,-0.037692,0.542308,1.976902,-0.106154,3
USA,2010,0.214615,0.523077,0.277692,-0.245385,-0.178462,3.01792,0.2415,16
USA,2014,0.036923,0.092308,-0.04,-0.003846,0.168462,1.854183,0.110769,16
England,2014,-0.093077,0.301538,0.026154,-0.100769,0.210769,-5.0743685,0.417692,32
England,2018,0.446923,0.404615,0.366923,-0.184615,0.086154,1.531841,0.313077,4
Argentina,2010,0.450769,0.496154,0.553846,0.065385,0.02,2.184302,0.62,8
Argentina,2014,0.011538,0.152308,0.289231,-0.141538,0.170769,27.801178,0.432308,2
Argentina,2018,0.373846,0.11,0.300769,-0.213846,0.743077,1.141975,0.696923,16
Uruguay,2010,0.396923,0.130769,0.05,-0.225385,-0.033846,-0.09302,-0.093,4
Uruguay,2014,0.074615,0.129231,0.226923,-0.154615,-0.273077,2.484554,-0.204616,16
Uruguay,2018,0.215385,0.316154,0.174615,-0.002308,-0.018462,2.2321377,0.12,8
Senegal,2018,0.110769,-0.074615,0.087692,-0.150769,0.121538,-0.027778,-0.447693,32
Ecuador,2014,0.075385,0.13,-0.066923,0.006154,0.193077,-0.18367,-0.538461,32
Costa Rica,2014,0.016154,-0.177692,-0.148462,-0.272308,-0.432308,-27.618794,-0.270769,8
Costa Rica,2018,-0.243077,-0.021538,-0.117692,-0.03,-0.349231,0.43670524,-0.330769,32
Mexico,2010,0.132308,0.251538,0.199231,0.2,0.863846,4.3139,-0.22923,16
Mexico,2014,0.200769,-0.043846,0.064615,0.174615,-0.09,0.203064,0.0576929,16
Mexico,2018,-0.023077,0.194615,0.341538,0.556154,0.982308,-19.69991,-0.112308,16
France,2010,-0.222308,-0.019231,0.155385,-0.379231,0.069231,0.128029,-0.01153,32
France,2014,0.376923,0.747692,1.026154,0.130769,0.010769,4.15306,0.0307699,8
France,2018,0.489231,0.231538,0.189231,-0.039231,0.080769,0.7374205,0.1407689,1
Denmark,2010,0.133077,0.533846,0.444615,-0.306154,0.104615,3.080923,-0.363076,32
Denmark,2018,-0.053077,-0.192308,0.065385,-0.263846,-0.393077,3.9855116,-0.366923,16
Australia,2010,0.132308,0.247692,0.487692,0.114615,-0.256154,3.29068,-0.546923,32
Australia,2014,0.075385,0.094615,-0.041538,0.036154,0.089231,-0.2449028,-0.507692,32
Australia,2018,-0.066923,0.165385,0.188462,0.346923,0.105385,-4.5517385,-0.2461539,32
Serbia,2010,-0.044615,0.218462,0.270769,-0.226923,0.533077,-10.41389,0.868462,32
Serbia,2018,-0.066154,0.076154,0.673846,0.183077,0.358462,-10.220908,-0.245385,32
Cameroon,2010,-0.045385,0.442308,0.630769,-0.158462,-0.239231,-20.271014,-0.39384,32
Cameroon,2014,-0.261538,-0.067692,0.203077,-0.293846,-0.086923,0.6205866,-0.099231,32
Ghana,2010,0.069231,0.626923,0.263846,-0.32,0.018462,12.01106,-0.387692,8
Ghana,2014,0.243846,0.314615,0.557692,0.030769,0.507692,3.04732,0.293846,32
Iran,2014,-0.261538,-0.197692,-0.108462,-0.082308,-0.276923,0.8411779,-0.279999,32
Iran,2018,-0.243077,0.063846,-0.287692,-0.441538,-0.383077,0.9968363,0.0015379,32
Poland,2018,-0.066154,0.173077,0.234615,-0.076154,-0.315385,-3.98836,0.257692,32
Saudi Arabia,2018,-0.066154,0.226154,-0.128462,0.070769,0.425385,-2.7092995,0.47,32
Tunisia,2018,0.463846,0.343077,-0.026154,0.200769,0.123077,1.0845776,-0.1376919,32
Japan,2014,-0.093077,0.253846,0.639231,0.151538,0.28,-9.6528787,0.175385,32
Croatia,2014,0.412308,0.366923,0.516154,0.14,0.035385,1.457087,-0.526923,32
Croatia,2018,0.52,0.379231,0.375385,0.074615,0.265385,1.110948076,-0.059231,2
Morocco,2018,-0.243077,0.000769,0.120769,-0.327692,0.037692,0.006331327,-0.9007689,32