Squad,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
ar Argentina,28.5,61.6,5,55,480,5.3,9,6,7,2,3,10,0,1.69,1.13,2.81,1.31,2.44,9.5,7.3,5.2,12.6,1.78,0.98,2.76,1.37,2.36
br Brazil,28.4,56.2,5,55,480,5.3,8,6,7,1,1,6,0,1.5,1.13,2.62,1.31,2.44,12,11.2,8.2,19.4,2.24,1.54,3.79,2.09,3.64
hr Croatia,29.3,54,5,55,510,5.7,6,6,6,0,0,6,0,1.06,1.06,2.12,1.06,2.12,5.8,5.8,4.7,10.5,1.03,0.83,1.86,1.03,1.86
eng England,27,62.8,5,55,450,5,13,11,12,1,2,1,0,2.6,2.2,4.8,2.4,4.6,8.7,7.1,5.7,12.8,1.73,1.13,2.87,1.42,2.55
fr France,27.3,54.8,5,55,450,5,11,11,11,0,0,5,0,2.2,2.2,4.4,2.2,4.4,9.5,9.5,8.4,17.9,1.9,1.69,3.59,1.9,3.59
ma Morocco,27.3,32.4,5,55,480,5.3,5,4,5,0,0,6,1,0.94,0.75,1.69,0.94,1.69,4.5,4.5,4,8.5,0.84,0.75,1.59,0.84,1.59
nl Netherlands,27.6,53,5,55,480,5.3,10,8,10,0,0,12,1,1.87,1.5,3.38,1.87,3.38,4.6,4.6,2.9,7.5,0.86,0.54,1.41,0.86,1.41
pt Portugal,27.8,60.4,5,55,450,5,12,10,10,2,2,6,0,2.4,2,4.4,2,4,7.8,6.2,5.2,11.4,1.56,1.04,2.6,1.24,2.29
au Australia,28.7,37.8,4,44,360,4,3,3,3,0,0,7,0,0.75,0.75,1.5,0.75,1.5,2.3,2.3,1.9,4.2,0.58,0.48,1.06,0.58,1.06
jp Japan,28.8,35.8,4,44,390,4.3,5,4,5,0,0,6,0,1.15,0.92,2.08,1.15,2.08,5,5,3.5,8.5,1.15,0.81,1.96,1.15,1.96
kr Korea Republic,29,48.3,4,44,360,4,5,3,5,0,0,6,0,1.25,0.75,2,1.25,2,4.6,4.6,3.3,7.9,1.14,0.83,1.98,1.14,1.98
pl Poland,28.7,37.3,4,44,360,4,3,1,2,1,2,7,0,0.75,0.25,1,0.5,0.75,4.5,2.9,1.8,4.7,1.14,0.44,1.58,0.74,1.18
sn Senegal,27.7,44.8,4,44,360,4,5,2,4,1,1,7,0,1.25,0.5,1.75,1,1.5,4.6,3.8,2.5,6.2,1.14,0.61,1.75,0.94,1.55
es Spain,26.3,75.8,4,44,390,4.3,9,5,8,1,1,2,0,2.08,1.15,3.23,1.85,3,6.2,5.4,4,9.4,1.42,0.92,2.34,1.24,2.16
ch Switzerland,28.5,49,4,44,360,4,5,4,5,0,0,9,0,1.25,1,2.25,1.25,2.25,5.6,5.6,3.6,9.2,1.41,0.89,2.3,1.41,2.3
us United States,25.3,53,4,44,360,4,3,3,3,0,0,5,0,0.75,0.75,1.5,0.75,1.5,4.1,4.1,3.5,7.6,1.01,0.87,1.89,1.01,1.89
be Belgium,30.6,57,3,33,270,3,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,4.7,4.7,3.8,8.5,1.57,1.27,2.85,1.57,2.85
cm Cameroon,28,41.7,3,33,270,3,4,4,4,0,0,8,1,1.33,1.33,2.67,1.33,2.67,3.4,3.4,2,5.4,1.14,0.66,1.8,1.14,1.8
ca Canada,28.2,52,3,33,270,3,1,1,1,0,1,8,0,0.33,0.33,0.67,0.33,0.67,4.2,3.6,2.8,6.4,1.41,0.95,2.35,1.18,2.13
cr Costa Rica,30.6,31.3,3,33,270,3,3,1,3,0,0,6,0,1,0.33,1.33,1,1.33,1.4,1.4,0.6,2,0.48,0.2,0.68,0.48,0.68
dk Denmark,27.5,60,3,33,270,3,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,2.7,2.7,1.8,4.5,0.9,0.59,1.49,0.9,1.49
ec Ecuador,25.8,53.3,3,33,270,3,4,2,3,1,1,3,0,1.33,0.67,2,1,1.67,3.7,2.9,1.8,4.7,1.24,0.6,1.84,0.98,1.58
de Germany,28.1,59.3,3,33,270,3,6,5,5,1,1,3,0,2,1.67,3.67,1.67,3.33,10.1,9.3,7.5,16.8,3.35,2.5,5.85,3.09,5.59
gh Ghana,26.4,42,3,33,270,3,5,2,5,0,1,8,0,1.67,0.67,2.33,1.67,2.33,4.1,3.4,1.7,5.1,1.38,0.57,1.95,1.13,1.7
ir IR Iran,29.3,36.7,3,33,270,3,4,2,3,1,1,7,0,1.33,0.67,2,1,1.67,3.2,2.8,2.4,5.2,1.07,0.81,1.88,0.94,1.75
mx Mexico,29,54,3,33,270,3,2,1,2,0,0,7,0,0.67,0.33,1,0.67,1,3.3,3.3,2.7,6,1.09,0.9,1.99,1.09,1.99
qa Qatar,29,43,3,33,270,3,1,1,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67,1.4,1.4,1.2,2.6,0.47,0.39,0.87,0.47,0.87
sa Saudi Arabia,28.1,44.7,3,33,270,3,3,2,3,0,1,14,0,1,0.67,1.67,1,1.67,3,2.1,1.4,3.5,0.99,0.47,1.47,0.71,1.18
rs Serbia,27.4,51.3,3,33,270,3,5,4,5,0,0,11,0,1.67,1.33,3,1.67,3,3.4,3.4,2.9,6.2,1.12,0.95,2.07,1.12,2.07
tn Tunisia,27.7,44.3,3,33,270,3,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,2.3,2.3,1.9,4.2,0.77,0.64,1.41,0.77,1.41
uy Uruguay,28.5,48.7,3,33,270,3,2,1,2,0,0,8,0,0.67,0.33,1,0.67,1,3.7,3.7,2.8,6.4,1.23,0.92,2.15,1.23,2.15
wls Wales,27.7,46.7,3,33,270,3,1,0,0,1,1,5,1,0.33,0,0.33,0,0,2.7,1.9,1.8,3.7,0.91,0.59,1.49,0.65,1.23