Player,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Aziz Behich,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
Aaron Mooy,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0.02,0.02,0.04,0.02,0.04,Matches
Kye Rowles,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mathew Ryan,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Harry Souttar,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
Jackson Irvine,3,3,264,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0.6,0.18,0.01,0.19,0.18,0.19,Matches
Mathew Leckie,3,3,262,2.9,1,1,1,0,0,0,0,0.34,0.34,0.69,0.34,0.69,0.1,0.1,0.3,0.5,0.05,0.11,0.16,0.05,0.16,Matches
Riley McGree,3,3,208,2.3,0,1,0,0,0,0,0,0,0.43,0.43,0,0.43,0.1,0.1,0.6,0.7,0.06,0.25,0.31,0.06,0.31,Matches
Craig Goodwin,3,3,201,2.2,1,1,1,0,0,0,0,0.45,0.45,0.9,0.45,0.9,0.3,0.3,0.2,0.4,0.11,0.08,0.2,0.11,0.2,Matches
Mitchell Duke,3,3,199,2.2,1,0,1,0,0,1,0,0.45,0,0.45,0.45,0.45,0.4,0.4,0,0.4,0.16,0.02,0.18,0.16,0.18,Matches
Miloš Degenek,3,1,112,1.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nathaniel Atkinson,1,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fran Karačić,1,1,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.22,0.12,0.33,0.22,0.33,Matches
Keanu Baccus,3,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
Jamie Maclaren,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
Jason Cummings,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ajdin Hrustic,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Awer Mabil,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Garang Kuol,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bailey Wright,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,3,33,270,3,3,3,3,0,0,5,0,1,1,2,1,2,1.7,1.7,1.4,3.1,0.58,0.46,1.04,0.58,1.04,
Opponent Total,3,33,270,3,4,4,4,0,0,4,0,1.33,1.33,2.67,1.33,2.67,5.6,5.6,4.9,10.5,1.87,1.65,3.51,1.87,3.51,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,