Squad,# Pl,Age,Poss,MP▼,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,exp-xG,exp-npxG,exp-xAG,exp-npxG+xAG,exp-xG,xAG,xG+xAG,npxG,npxG+xAG
ar Argentina,21,28.7,65,4,44,360,4,1.75,1.25,1.5,0.25,0.5,0.5,0,1.75,1.25,3,1.5,2.75,1.9,1.55,1.07,2.63,1.9,1.07,2.97,1.55,2.62
au Australia,20,28.7,37.8,4,44,360,4,0.75,0.75,0.75,0,0,1.75,0,0.75,0.75,1.5,0.75,1.5,0.57,0.57,0.47,1.05,0.58,0.48,1.06,0.58,1.06
br Brazil,26,28.4,57.8,4,44,360,4,1.75,1.25,1.5,0.25,0.25,0.75,0,1.75,1.25,3,1.5,2.75,2.35,2.17,1.63,3.8,2.36,1.63,3.99,2.17,3.79
hr Croatia,18,29.4,55,4,44,390,4.3,1.16,1.16,1.16,0,0,0.93,0,1.15,1.15,2.31,1.15,2.31,1.21,1.21,0.93,2.16,1.2,0.93,2.14,1.2,2.14
eng England,20,27,64.3,4,44,360,4,3,2.75,3,0,0,0,0,3,2.75,5.75,3,5.75,1.57,1.57,1.25,2.83,1.57,1.25,2.82,1.57,2.82
fr France,24,27.2,57.8,4,44,360,4,2.25,2.25,2.25,0,0,0.5,0,2.25,2.25,4.5,2.25,4.5,2.15,2.15,1.88,4,2.14,1.87,4.01,2.14,4.01
jp Japan,22,28.8,35.8,4,44,390,4.3,1.16,0.93,1.16,0,0,1.4,0,1.15,0.92,2.08,1.15,2.08,1.16,1.16,0.81,1.98,1.15,0.81,1.96,1.15,1.96
kr Korea Republic,21,29,48.3,4,44,360,4,1.25,0.75,1.25,0,0,1.5,0,1.25,0.75,2,1.25,2,1.15,1.15,0.82,1.98,1.14,0.83,1.98,1.14,1.98
ma Morocco,21,27.3,33.8,4,44,390,4.3,0.93,0.7,0.93,0,0,0.7,0,0.92,0.69,1.62,0.92,1.62,0.72,0.72,0.6,1.33,0.71,0.6,1.31,0.71,1.31
nl Netherlands,19,27.6,53.3,4,44,360,4,2,1.5,2,0,0,1,0,2,1.5,3.5,2,3.5,1,1,0.63,1.65,1.01,0.63,1.64,1.01,1.64
pl Poland,21,28.6,37.3,4,44,360,4,0.75,0.25,0.5,0.25,0.5,1.75,0,0.75,0.25,1,0.5,0.75,1.13,0.72,0.45,1.18,1.14,0.44,1.58,0.74,1.18
pt Portugal,24,27.9,57.3,4,44,360,4,3,2.5,2.5,0.5,0.5,1.25,0,3,2.5,5.5,2.5,5,1.73,1.32,1.1,2.42,1.72,1.09,2.81,1.33,2.42
sn Senegal,20,27.7,44.8,4,44,360,4,1.25,0.5,1,0.25,0.25,1.75,0,1.25,0.5,1.75,1,1.5,1.15,0.95,0.63,1.55,1.14,0.61,1.75,0.94,1.55
es Spain,21,26.3,75.8,4,44,390,4.3,2.09,1.16,1.86,0.23,0.23,0.47,0,2.08,1.15,3.23,1.85,3,1.44,1.26,0.93,2.19,1.42,0.92,2.34,1.24,2.16
ch Switzerland,24,28.4,49,4,44,360,4,1.25,1,1.25,0,0,2.25,0,1.25,1,2.25,1.25,2.25,1.4,1.4,0.9,2.3,1.41,0.89,2.3,1.41,2.3
us United States,20,25.3,53,4,44,360,4,0.75,0.75,0.75,0,0,1.25,0,0.75,0.75,1.5,0.75,1.5,1.02,1.02,0.88,1.9,1.01,0.87,1.89,1.01,1.89
be Belgium,20,30.6,57,3,33,270,3,0.33,0.33,0.33,0,0,1.67,0,0.33,0.33,0.67,0.33,0.67,1.57,1.57,1.27,2.83,1.57,1.27,2.85,1.57,2.85
cm Cameroon,22,28,41.7,3,33,270,3,1.33,1.33,1.33,0,0,2.67,0.33,1.33,1.33,2.67,1.33,2.67,1.13,1.13,0.67,1.8,1.14,0.66,1.8,1.14,1.8
ca Canada,19,28.2,52,3,33,270,3,0.33,0.33,0.33,0,0.33,2.67,0,0.33,0.33,0.67,0.33,0.67,1.4,1.2,0.93,2.13,1.41,0.95,2.35,1.18,2.13
cr Costa Rica,22,30.6,31.3,3,33,270,3,1,0.33,1,0,0,2,0,1,0.33,1.33,1,1.33,0.47,0.47,0.2,0.67,0.48,0.2,0.68,0.48,0.68
dk Denmark,20,27.5,60,3,33,270,3,0.33,0.33,0.33,0,0,1.67,0,0.33,0.33,0.67,0.33,0.67,0.9,0.9,0.6,1.5,0.9,0.59,1.49,0.9,1.49
ec Ecuador,18,25.7,53.3,3,33,270,3,1.33,0.67,1,0.33,0.33,1,0,1.33,0.67,2,1,1.67,1.23,0.97,0.6,1.57,1.24,0.6,1.84,0.98,1.58
de Germany,20,28.1,59.3,3,33,270,3,2,1.67,1.67,0.33,0.33,1,0,2,1.67,3.67,1.67,3.33,3.37,3.1,2.5,5.6,3.35,2.5,5.85,3.09,5.59
gh Ghana,20,26.4,42,3,33,270,3,1.67,0.67,1.67,0,0.33,2.67,0,1.67,0.67,2.33,1.67,2.33,1.37,1.13,0.57,1.7,1.38,0.57,1.95,1.13,1.7
ir IR Iran,21,29.3,36.7,3,33,270,3,1.33,0.67,1,0.33,0.33,2.33,0,1.33,0.67,2,1,1.67,1.07,0.93,0.8,1.73,1.07,0.81,1.88,0.94,1.75
mx Mexico,21,29,54,3,33,270,3,0.67,0.33,0.67,0,0,2.33,0,0.67,0.33,1,0.67,1,1.1,1.1,0.9,2,1.09,0.9,1.99,1.09,1.99
qa Qatar,20,29,43,3,33,270,3,0.33,0.33,0.33,0,0,2.33,0,0.33,0.33,0.67,0.33,0.67,0.47,0.47,0.4,0.87,0.47,0.39,0.87,0.47,0.87
sa Saudi Arabia,23,28.1,44.7,3,33,270,3,1,0.67,1,0,0.33,4.67,0,1,0.67,1.67,1,1.67,1,0.7,0.47,1.17,0.99,0.47,1.47,0.71,1.18
rs Serbia,22,27.4,51.3,3,33,270,3,1.67,1.33,1.67,0,0,3.67,0,1.67,1.33,3,1.67,3,1.13,1.13,0.97,2.07,1.12,0.95,2.07,1.12,2.07
tn Tunisia,21,27.7,44.3,3,33,270,3,0.33,0.33,0.33,0,0,1.67,0,0.33,0.33,0.67,0.33,0.67,0.77,0.77,0.63,1.4,0.77,0.64,1.41,0.77,1.41
uy Uruguay,19,28.5,48.7,3,33,270,3,0.67,0.33,0.67,0,0,2.67,0,0.67,0.33,1,0.67,1,1.23,1.23,0.93,2.13,1.23,0.92,2.15,1.23,2.15
wls Wales,18,27.7,46.7,3,33,270,3,0.33,0,0,0.33,0.33,1.67,0.33,0.33,0,0.33,0,0,0.9,0.63,0.6,1.23,0.91,0.59,1.49,0.65,1.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,